980.714,1047.96,-6.05054
202,0.8,21.8,-1.32
203,-0.26,45.45,1.74
204,-2.33,42.38,-2.06
205,-0.25,40.23,-2.19
206,-1.06,16.65,2
207,-4.93,47.67,-2.05
208,0.61,18.08,-0.67
209,-0.89,13.12,3.48
210,-0.25,12.84,2.3
211,-4.15,79.31,-2.01
212,-0.23,4.48,-2.11
213,-9.37,96.18,-1.89
214,-0.61,7.97,-2.26
215,-0.21,10.64,-2.15
216,-6.23,130.68,-0.29
217,-0.84,12.97,-2.05
218,-0.19,15.96,-2.06
219,-0.06,59.5,-0.47
220,-1.1,18.56,-2.04
221,-6.14,128.69,2.7
222,2.99,62.53,0.58
223,-1.51,27.74,-2
224,-0.16,24.73,-2.07
225,-0.04,65.51,0.99
226,-3.12,30.31,-2.02
227,0.63,17.09,-1.03
228,-0.11,45.02,1.72
229,-2.18,42.33,-2.06
230,-0.11,40.2,-2.19
231,-4.78,47.81,-2.05
232,-0.85,13.17,3.49
233,-0.2,12.9,2.31
234,-0.22,4.48,-2.11
235,-0.05,30.7,-0.96
236,-0.58,7.97,-2.25
237,-0.19,10.64,-2.15
238,-5.69,128.92,-0.28
239,0.79,18.9,-0.26
240,-0.79,12.96,-2.05
241,-0.14,15.96,-2.06
242,-11.76,126.06,0.44
243,0.13,59.85,-0.47
244,-1.03,18.55,-2.04
245,0.66,16.58,-1.58
246,-5.7,129.05,2.71
247,-1.41,27.71,-2
248,-0.09,24.68,-2.06
249,0.15,62.62,0.94
250,-3.01,30.29,-2.02
251,0.65,16.41,-0.98
252,0.04,45.37,1.73
253,-2.03,42.3,-2.06
254,-0.94,16.33,1.96
255,-0.16,14.17,1.11
256,-4.62,47.88,-2.05
257,0.65,16.35,-0.6
258,-0.87,14.78,3.92
259,-0.17,13.62,2.44
260,-3.57,78.85,-2
261,-0.21,4.49,-2.11
262,-8.71,96.32,-1.89
263,0.05,30.61,-0.96
264,-0.56,7.98,-2.26
265,-0.15,10.65,-2.15
266,-5.24,128.9,-0.28
267,1.34,27.04,-0.37
268,-0.75,12.95,-2.05
269,-0.09,15.94,-2.06
270,-11.33,126.2,0.44
271,0.34,59.91,-0.47
272,-0.97,18.53,-2.04
273,0.68,15.95,-1.52
274,-5.23,128.47,2.7
275,1.34,27.1,0.24
276,-1.32,27.72,-2
277,0,24.58,-2.05
278,0.37,62.47,0.95
279,-2.9,30.29,-2.02
280,0.67,15.77,-0.95
281,-1.88,42.24,-2.06
282,0.05,30.72,-1.68
283,-0.78,13.94,1.67
284,-0.1,14.31,1.12
285,-4.44,47.78,-2.05
286,0.66,15.72,-0.58
287,-0.12,13.42,2.4
288,-0.19,4.49,-2.11
289,0.14,29.09,-0.9
290,-0.52,7.97,-2.26
291,-0.1,10.64,-2.15
292,-4.79,128.84,-0.28
293,0.93,18.98,-0.26
294,-0.69,12.95,-2.04
295,-0.03,15.94,-2.06
296,-10.87,125.94,0.44
297,0.55,60.01,-0.47
298,-0.89,18.47,-2.03
299,0.71,15.37,-1.46
300,-4.82,129.43,2.72
301,1.36,26.02,0.24
302,-1.22,27.72,-2
303,0.05,23.14,-1.94
304,0.59,62.5,0.95
305,-2.8,30.27,-2.01
306,0.69,15.23,-0.91
307,-0.02,17.01,0.65
308,-1.72,42.16,-2.05
309,0.1,26.57,-1.45
310,-0.7,13.18,1.58
311,-0.02,16.59,1.31
312,-4.26,47.65,-2.04
313,0.69,15.18,-0.56
314,-0.07,13.14,2.35
315,-2.96,77.15,-1.96
316,-0.17,4.48,-2.11
317,-8.1,97.3,-1.91
318,0.2,26.06,-0.8
319,-0.49,7.97,-2.26
320,-0.06,10.65,-2.15
321,-4.33,129.08,-0.28
322,-0.64,12.93,-2.04
323,0.02,15.93,-2.06
324,-10.43,126.2,0.44
325,0.18,25.38,-0.19
326,-0.82,18.43,-2.02
327,0.72,14.85,-1.42
328,-4.2,125.26,2.63
329,1.46,26,0.24
330,-1.12,27.69,-1.99
331,0.82,62.48,0.95
332,-2.68,30.25,-2.01
333,0.71,14.71,-0.88
334,-0.7,14.62,0.81
