982.54,1044.27,-6.03074
0.410534,0.911733,-0.014297
-0.911844,0.410459,-0.00800594
-0.00143093,0.0163234,0.999866
0,3.44,2.43,-2.05
1,13.58,11.24,-0.29
2,19.85,13.31,-0.68
3,5.87,4.49,-2.11
4,9.01,6.12,-2.21
5,15.44,11.53,0.01
6,10.76,8.09,-2.1
7,14.21,9.57,-2.18
8,13.58,11.25,0.11
9,14.44,10.79,-1.94
10,18.14,10.92,-1.97
11,19.74,11.87,0.28
12,14.56,10.88,-1.26
13,16.12,10.84,-1.58
14,13.96,11.55,0.54
15,24.67,16.51,0.54
16,13.73,11.37,-1.13
17,19.13,11.51,-1.29
18,23.16,17.21,1.71
19,26.75,17.89,1.34
20,15.14,11.31,-0.87
21,14.63,12.1,-0.76
22,9.93,7.48,3.4
23,14.41,9.7,3.21
24,15.08,11.26,-0.42
25,3.45,2.41,-2.05
26,19.97,13.29,-0.68
27,5.89,4.47,-2.12
28,9.02,6.08,-2.21
29,15.3,11.34,0.01
30,18.88,11.27,-0.23
31,10.81,8.06,-2.11
32,14.24,9.52,-2.18
33,14.06,11.55,0.11
34,14.54,10.79,-1.95
35,18.17,10.86,-1.97
36,19.81,11.82,0.28
37,14.66,10.87,-1.27
38,16.23,10.83,-1.59
39,14.01,11.51,0.54
40,24.68,16.39,0.54
41,13.83,11.37,-1.14
42,19.21,11.47,-1.29
43,26.86,17.83,1.34
44,15.22,11.28,-0.87
45,18.58,12.38,-1.16
46,14.48,10.74,2.25
47,13.73,11.28,-0.71
48,20.13,12.01,-0.8
49,9.94,7.44,3.39
50,20.02,13.33,4.43
51,16.23,12.02,-0.45
52,3.45,2.4,-2.05
53,14.36,11.71,-0.3
54,18.21,12.04,-0.62
55,5.9,4.44,-2.11
56,9.04,6.05,-2.21
57,15.38,11.32,0.01
58,19,11.26,-0.23
59,10.81,8.01,-2.1
60,14.26,9.46,-2.18
61,14.15,11.55,0.11
62,14.65,10.8,-1.96
63,18.3,10.85,-1.98
64,16.04,11.8,0.47
65,22.95,13.57,0.33
66,14.74,10.85,-1.27
67,16.36,10.84,-1.6
68,14.11,11.51,0.54
69,18.5,12.23,0.4
70,19.28,11.42,-1.29
71,14.78,9.8,0.74
72,16.23,11.94,-0.92
73,18.6,12.3,-1.16
74,12.46,9.2,1.93
75,14.76,9.79,1.47
76,13.82,11.28,-0.71
77,19.34,11.46,-0.77
78,15.35,11.3,-0.42
79,3.47,2.39,-2.05
80,14.78,11.97,-0.31
81,5.91,4.42,-2.11
82,9.05,6.01,-2.2
83,16.1,11.76,0.01
84,14.34,8.46,-0.17
85,10.84,7.97,-2.1
86,14.3,9.42,-2.18
87,14.15,11.46,0.11
88,24.63,16.12,-0.14
89,14.76,10.79,-1.97
90,14.35,8.47,-1.55
91,16.03,11.7,0.47
92,14.33,8.45,0.2
93,14.83,10.84,-1.27
94,16.49,10.84,-1.6
95,14.67,11.88,0.56
96,14.08,11.41,-1.15
97,14.34,8.46,-0.96
98,16.58,12.1,1.21
99,16.23,11.85,-0.92
100,14.91,10.9,2.3
101,14.98,9.86,1.49
102,14.68,11.88,-0.75
103,14.39,8.49,-0.57
104,13.83,10.13,4.66
105,14.44,9.51,3.2
106,15.47,11.3,-0.43
107,3.47,2.37,-2.05
108,14.5,11.66,-0.3
109,20.42,13.28,-0.69
110,5.93,4.4,-2.11
111,9.06,5.97,-2.2
112,15.54,11.27,0.01
113,19.66,11.45,-0.24
114,10.86,7.92,-2.1
115,14.18,11.4,0.11
116,18.49,12.04,-0.1
117,14.88,10.79,-1.98
118,18.59,10.84,-2.01
119,15.96,11.57,0.47
120,14.34,8.39,0.2
121,14.93,10.83,-1.28
122,16.63,10.84,-1.61
123,14.53,11.68,0.55
124,24.66,16.01,0.53
125,14.15,11.38,-1.15
126,16.59,12.02,1.21
127,14.5,9.47,0.72
128,16.37,11.86,-0.93
129,18.81,12.24,-1.16
130,13.71,9.96,2.11
131,14.55,9.5,1.44
132,14.8,11.89,-0.76
133,19.58,11.41,-0.77
134,13.82,10.04,4.64
135,14.42,9.42,3.19
136,15.6,11.31,-0.43
137,3.48,2.36,-2.05
138,14.15,11.3,-0.29
139,20.56,13.27,-0.69
140,5.94,4.37,-2.11
141,9.08,5.94,-2.2
142,15.57,11.21,0.01
143,19.6,11.34,-0.24
144,10.86,7.87,-2.1
145,14.47,9.38,-2.2
146,14.3,11.42,0.11
147,18.46,11.93,-0.1
148,14.98,10.79,-1.99
149,18.74,10.85,-2.02
150,16.41,11.81,0.48
151,19.74,11.42,0.27
152,15.05,10.84,-1.29
153,16.76,10.85,-1.62
154,14.59,11.65,0.55
155,24.69,15.91,0.53
156,14.21,11.35,-1.15
157,19.55,11.31,-1.3
158,16.36,11.77,1.19
159,14.51,9.41,0.72
160,16.35,11.77,-0.92
161,18.24,11.79,-1.13
162,15.03,10.83,2.31
163,25.46,16.41,2.51
164,14.53,11.6,-0.74
165,13.7,9.89,4.59
166,16.23,11.68,-0.45
167,3.49,2.35,-2.05
168,14.2,11.26,-0.3
169,20.66,13.23,-0.7
170,5.96,4.35,-2.11
171,9.09,5.9,-2.2
172,15.69,11.21,0.01
173,19.81,11.36,-0.24
174,10.88,7.82,-2.09
175,14.52,9.34,-2.2
176,14.2,11.25,0.11
177,15.1,10.79,-2
178,18.93,10.86,-2.03
179,16.43,11.73,0.48
180,22.63,12.96,0.32
181,15.16,10.84,-1.29
182,16.87,10.83,-1.63
183,14.64,11.6,0.56
