-377.235,681.548,-24.323
0.917504,-0.397269,-0.0190859
0.395785,0.916708,-0.0547668
0.0392533,0.0426949,0.998317
0,-1.70549,4.29651,-2.03475
2,-26.1702,155.195,-4.4979
3,-2.5858,7.38645,-2.10324
4,-2.84623,11.3365,-2.28163
5,-36.0994,165.013,0.0796567
7,-4.27664,15.3164,-2.41957
8,-4.55739,21.8965,-2.79696
9,-47.4399,175.671,1.12807
11,-6.93803,27.8564,-3.04377
12,-5.16904,37.1267,-3.46092
15,-9.17887,38.4261,-2.72889
16,-7.81948,42.0365,-3.44803
19,-15.6908,55.5459,-3.64987
20,-9.23265,73.2967,-4.25559
24,-15.154,87.2263,-4.58801
31,-30.5682,138.924,-3.2324
32,-1.68548,4.28651,-2.02477
35,-2.5658,7.38646,-2.10325
36,-2.80623,11.3365,-2.28165
37,-35.5394,165.193,0.07951
39,-4.21664,15.3164,-2.41959
40,-4.47739,21.9066,-2.80698
43,-6.84803,27.9264,-3.04378
44,-5.05905,37.2368,-3.47092
46,-19.459,169.723,2.04506
48,-7.66947,42.0165,-3.4381
51,-15.5608,55.7859,-3.65982
52,-9.01268,73.6167,-4.27555
55,-9.13857,38.8758,-1.82873
56,-14.9641,88.0063,-4.62779
59,-14.9901,53.6454,-2.23086
63,-30.0483,138.954,-3.23259
64,-1.67548,4.28651,-2.02477
65,-42.3701,160.883,-2.81951
66,-25.0202,154.845,-4.48847
67,-2.5258,7.39646,-2.10326
68,-2.76623,11.3465,-2.28166
69,-29.677,139.463,0.0674607
71,-4.15664,15.3264,-2.41961
72,-4.4074,21.9366,-2.807
74,-25.1188,155.504,-0.838184
75,-6.73803,27.8764,-3.04384
76,-4.93906,37.3568,-3.48092
80,-7.54949,42.1565,-3.44809
83,-14.8706,53.8959,-3.53081
84,-8.81272,73.9467,-4.2955
87,-8.97856,38.7758,-1.81883
95,-29.4582,138.344,-3.21305
96,-1.65548,4.27651,-2.02478
98,-24.4602,154.715,-4.47874
99,-2.5058,7.39646,-2.10327
100,-2.72623,11.3565,-2.28167
101,-29.167,139.463,0.0672647
103,-4.11664,15.3364,-2.41962
104,-4.3374,21.9466,-2.80702
106,-24.4488,154.734,-0.828734
107,-6.62802,27.8064,-3.03391
108,-4.82908,37.4868,-3.49092
112,-7.42952,42.4065,-3.46804
115,-14.7606,54.2159,-3.55073
116,-8.55273,74.0667,-4.29556
119,-8.81855,38.6958,-1.81892
127,-29.0482,138.854,-3.22301
128,-1.63548,4.27651,-2.02479
129,-41.02,160.263,-2.80026
130,-23.8001,153.995,-4.45927
131,-2.4758,7.40646,-2.10327
132,-2.69623,11.3465,-2.28169
133,-28.7071,139.693,0.0671755
135,-4.05665,15.3464,-2.41964
136,-4.2574,21.9666,-2.80705
138,-23.9788,155.274,-0.838709
139,-6.51801,27.7864,-3.02396
140,-4.69909,37.6068,-3.50092
141,-28.7758,140.052,3.37734
143,-8.6789,38.6861,-2.73898
144,-7.29952,42.4465,-3.46808
147,-15.1209,56.4659,-3.69974
