-144.767,754.993,-12.2837
0.973605,-0.227528,-0.0180237
0.228028,0.973067,0.0338191
0.00984343,-0.0370363,0.999265
0,1.16377,3.29142,-1.78416
1,6.5704,16.1049,-0.272062
2,8.61059,16.1842,-0.510695
3,2.14511,5.6008,-1.75837
4,4.03675,8.27,-1.89124
5,7.59028,16.1936,0.0287336
6,9.74043,16.2428,-0.189903
7,4.71809,10.6195,-1.83553
8,6.57929,12.6684,-1.82982
9,6.61023,16.204,0.118186
10,8.65037,16.2532,-0.0705144
11,6.98064,15.0081,-1.7843
12,9.61123,16.0664,-1.74038
13,7.52999,16.1027,0.438494
14,9.72017,16.2119,0.240016
15,7.50091,16.0265,-1.2217
16,8.53107,16.0564,-1.47103
17,6.54992,16.0731,0.527857
18,8.61009,16.1823,0.339303
19,6.53083,16.0168,-1.10229
20,9.6709,16.1449,-1.09017
22,8.63986,16.2313,0.779432
23,7.62081,16.2655,-0.821089
24,8.57079,16.1052,-0.940897
27,6.58066,16.1358,-0.691987
28,9.76072,16.2838,-0.6398
31,7.5605,16.1646,-0.39135
32,1.17376,3.28142,-1.78417
33,6.63041,16.1149,-0.282004
34,8.7006,16.2142,-0.510575
35,2.16511,5.60079,-1.75836
36,4.06674,8.25998,-1.89124
37,7.65029,16.2136,0.0288137
38,9.81043,16.2428,-0.189862
39,4.75808,10.5995,-1.83556
40,6.61927,12.6384,-1.82987
41,6.68024,16.2239,0.118272
42,8.73038,16.2632,-0.0704454
43,7.02062,14.978,-1.78435
44,9.69124,16.0664,-1.75033
45,7.61,16.1227,0.438586
46,9.80018,16.2318,0.240108
47,7.56091,16.0264,-1.22166
48,8.61108,16.0664,-1.48096
49,6.61993,16.093,0.527943
50,8.66007,16.1523,0.339264
51,6.58083,16.0167,-1.10226
52,9.75091,16.1649,-1.09008
54,8.70987,16.2413,0.779496
55,7.68082,16.2655,-0.831054
56,8.6408,16.1252,-0.940812
59,6.65067,16.1558,-0.691901
60,37.9371,59.6113,-2.32553
63,7.64051,16.1745,-0.391281
65,6.70041,16.1048,-0.281986
66,8.7606,16.2141,-0.51054
67,2.19511,5.60079,-1.76834
68,4.09673,8.23996,-1.89127
69,7.72028,16.2035,0.0288318
70,9.89044,16.2528,-0.189793
71,4.79808,10.5894,-1.83556
72,6.65926,12.6183,-1.82989
73,6.74023,16.1939,0.118239
74,8.79037,16.2531,-0.0704331
75,7.0606,14.948,-1.78439
76,9.78124,16.0763,-1.75026
77,7.65998,16.0926,0.438547
78,9.88017,16.2218,0.240132
79,7.64091,16.0264,-1.22162
80,8.68108,16.0664,-1.48092
81,6.68993,16.093,0.527983
82,8.74008,16.1622,0.339333
83,6.66084,16.0367,-1.10217
84,9.83091,16.1548,-1.09005
86,8.78987,16.2412,0.779542
88,8.72081,16.1352,-0.950742
91,6.72067,16.1557,-0.69186
92,9.93074,16.3038,-0.649656
95,7.7005,16.1545,-0.391292
96,1.22378,3.30143,-1.8041
97,6.7604,16.0948,-0.281974
98,8.83059,16.1941,-0.510544
99,2.19508,5.56077,-1.75843
100,4.12674,8.23997,-1.90125
101,7.8103,16.2335,0.0289518
102,9.96043,16.2327,-0.189798
103,4.82806,10.5594,-1.83561
104,6.70924,12.5883,-1.82993
105,6.80022,16.1839,0.118252
106,8.87038,16.2531,-0.0803865
107,7.12059,14.928,-1.7844
108,9.86125,16.0763,-1.76021
109,7.74999,16.1126,0.438645
110,9.95017,16.2117,0.24015
111,7.71092,16.0364,-1.23155
112,8.76108,16.0663,-1.48088
113,6.74992,16.083,0.527996
114,8.82009,16.1822,0.339425
115,6.73084,16.0267,-1.10215
116,9.92092,16.1648,-1.09998
118,8.85987,16.2511,0.789605
119,7.83081,16.2554,-0.820989
120,8.80081,16.1351,-0.950696
123,6.79069,16.1857,-0.691752
124,10.0007,16.2837,-0.64966
127,7.7805,16.1644,-0.391223
128,1.23378,3.30143,-1.80409
129,6.84042,16.1247,-0.28186
130,8.9206,16.2041,-0.520469
131,2.19505,5.52075,-1.74852
132,4.14671,8.19993,-1.89133
133,7.8803,16.2334,0.0289925
134,10.0704,16.2626,-0.189666
135,4.86805,10.5394,-1.83563
136,6.74923,12.5583,-1.82997
137,6.87021,16.1738,0.11827
138,8.95038,16.2531,-0.08034
139,7.18058,14.9079,-1.78441
140,9.93124,16.0663,-1.7602
141,7.83,16.1225,0.438714
142,10.0302,16.2117,0.240196
143,7.78092,16.0363,-1.23151
144,8.84109,16.0663,-1.49083
145,6.81992,16.0829,0.528036
146,8.89007,16.1521,0.339398
147,6.80084,16.0266,-1.10211
148,9.99092,16.1648,-1.09994
150,8.93986,16.2411,0.789629
151,7.90081,16.2553,-0.820948
152,8.87081,16.1251,-0.950678
155,6.8707,16.1857,-0.701706
156,10.0707,16.2637,-0.649665
159,7.8505,16.1644,-0.391182
160,1.24377,3.2814,-1.79413
161,6.91042,16.1247,-0.281819
162,9.01063,16.244,-0.520327
163,2.21505,5.51073,-1.74853
164,4.1767,8.17992,-1.89136
165,7.9603,16.2334,0.029039
166,10.1404,16.2426,-0.189671
167,4.89803,10.5194,-1.83566
168,6.78921,12.5283,-1.83002
169,6.94023,16.1938,0.118356
170,9.03038,16.263,-0.080271
171,7.23055,14.8679,-1.78448
172,10.0112,16.0562,-1.76017
173,7.88999,16.1125,0.438726
174,10.1302,16.2416,0.240322
175,7.86092,16.0363,-1.23147
176,8.91109,16.0663,-1.49079
177,6.88992,16.0729,0.528054
178,8.9901,16.2121,0.349592
179,6.87084,16.0266,-1.10207
180,10.0809,16.1647,-1.09988
182,9.01986,16.241,0.789676
183,7.9608,16.2353,-0.830959
184,8.95081,16.125,-0.950631
187,6.93068,16.1556,-0.701738
188,10.1707,16.2936,-0.649539
191,7.93051,16.1744,-0.391113
192,1.25377,3.28139,-1.79413
193,6.98042,16.1247,-0.281778
194,9.09062,16.234,-0.520303
195,2.23504,5.50072,-1.74854
196,4.20668,8.1599,-1.89139
197,8.04031,16.2533,0.0291307
198,10.2204,16.2426,-0.189624
199,4.93802,10.4994,-1.83568
200,6.82919,12.4982,-1.83006
201,7.02024,16.2137,0.118447
202,9.11038,16.263,-0.0802245
203,7.28054,14.8379,-1.78451
204,10.0712,16.0262,-1.7602
205,7.98,16.1325,0.438824
206,10.2002,16.2116,0.240295
207,7.93092,16.0363,-1.23143
208,8.99109,16.0762,-1.49072
209,6.96992,16.0928,0.538146
210,9.06008,16.182,0.349565
211,6.93085,16.0366,-1.11201
212,10.1709,16.1746,-1.09981
214,9.09987,16.251,0.789745
215,8.0308,16.2253,-0.830941
216,9.03082,16.145,-0.96054
219,7.02071,16.2156,-0.701551
220,10.2607,16.3236,-0.649419
223,8.01052,16.1843,-0.391044
224,1.25375,3.26139,-1.79417
225,7.04041,16.1046,-0.281789
227,2.25504,5.49071,-1.74855
228,4.23667,8.13988,-1.89142
229,8.1103,16.2333,0.0291262
230,10.3205,16.2725,-0.189498
231,4.97801,10.4793,-1.8357
232,6.85917,12.4682,-1.83011
233,7.09024,16.2137,0.118488
235,7.33053,14.8178,-1.78453
236,10.1312,15.9962,-1.76024
237,8.05,16.1324,0.438864
238,10.3002,16.2415,0.240421
239,7.99093,16.0462,-1.24137
240,9.0711,16.0762,-1.50067
