-208.405,738.817,-14.2616
0.975652,-0.213262,-0.0512065
0.213061,0.976994,-0.00940941
0.0520351,-0.00172982,0.998644
0,0.734707,3.34787,-1.74408
1,4.90787,15.7769,-0.285214
2,6.77795,15.8364,-0.504693
3,1.5654,5.75763,-1.7543
4,3.53645,9.12702,-2.01436
5,5.86783,15.9067,0.00503458
6,7.78788,15.8861,-0.204415
7,4.15723,11.8668,-1.9947
8,6.23808,14.7362,-2.07464
9,4.9578,15.887,0.0847792
10,6.82787,15.9664,-0.0947033
11,5.72825,15.5864,-1.81495
12,7.67824,15.6859,-1.66441
13,5.81768,15.7868,0.395043
14,7.77776,15.8762,0.205584
15,5.7681,15.6665,-1.18495
16,6.69817,15.6962,-1.41469
17,4.90765,15.7871,0.484784
18,6.78773,15.8665,0.295304
19,9.14162,27.2454,-1.85615
20,13.4913,26.3642,-1.74475
23,10.5314,26.8951,-1.35569
24,11.9914,26.6147,-1.54522
27,4.92799,15.8069,-0.675214
31,5.83792,15.8267,-0.394959
32,0.754713,3.35786,-1.75408
33,4.98788,15.7969,-0.285195
34,6.84795,15.8363,-0.504673
35,1.5854,5.75763,-1.75429
36,3.57645,9.127,-2.02435
37,5.93783,15.9167,0.00505264
39,4.19723,11.8568,-1.99469
40,6.29808,14.7162,-2.07462
41,5.0178,15.887,0.0847963
42,6.87786,15.9364,-0.0946835
43,5.79825,15.5764,-1.82492
44,7.73824,15.6959,-1.66439
45,5.89769,15.8168,0.39506
47,5.8381,15.6765,-1.18493
48,6.76817,15.6862,-1.41467
49,4.98766,15.7971,0.484805
50,6.85773,15.8665,0.295324
51,9.23161,27.2154,-1.85612
52,13.6113,26.3542,-1.74471
55,10.6414,26.8751,-1.34565
56,12.1014,26.6146,-1.54519
59,4.98799,15.7968,-0.675195
60,7.868,15.896,-0.624394
63,5.89791,15.8166,-0.39494
64,0.764704,3.33786,-1.74407
65,5.04787,15.7769,-0.285175
66,6.91796,15.8563,-0.504657
67,1.56538,5.68764,-1.73428
68,3.60644,9.107,-2.01434
69,5.99783,15.9167,0.00506972
70,7.92788,15.8961,-0.204377
71,4.23722,11.8368,-1.99467
72,6.34807,14.6962,-2.0846
73,5.0878,15.907,0.0848125
74,6.96787,15.9564,-0.0946616
75,5.85825,15.5664,-1.8249
76,7.82825,15.7058,-1.67437
77,5.96769,15.8368,0.395076
78,7.92776,15.8862,0.205625
79,5.8981,15.6765,-1.18491
80,6.82817,15.6862,-1.42465
81,5.05766,15.807,0.484823
82,6.93774,15.8865,0.295343
83,9.3216,27.1854,-1.85609
84,13.7113,26.3141,-1.74467
87,10.7414,26.8551,-1.35562
88,12.2013,26.5946,-1.54516
91,5.04798,15.7968,-0.665178
92,7.938,15.896,-0.624374
95,5.95791,15.8166,-0.394923
96,0.774704,3.33786,-1.74407
97,5.09787,15.7669,-0.285159
98,6.98796,15.8563,-0.504637
99,1.58536,5.64763,-1.72427
100,3.63644,9.09698,-2.02433
101,6.05783,15.9067,0.00508867
102,7.98788,15.8861,-0.204358
103,4.28723,11.8368,-2.00466
104,6.39807,14.6762,-2.08459
105,5.1478,15.8969,0.0848315
106,7.03787,15.9564,-0.0946416
107,5.91825,15.5664,-1.82489
108,7.89825,15.7058,-1.67435
109,6.02769,15.8367,0.395093
110,7.98776,15.8861,0.205642
111,5.9581,15.6665,-1.18489
112,6.90818,15.7062,-1.42463
113,5.11766,15.807,0.48484
114,7.00773,15.8864,0.305363
115,5.14813,15.8967,-1.08517
116,13.8213,26.3141,-1.74464
119,10.8414,26.835,-1.35559
120,12.3013,26.5846,-1.54513
123,5.10799,15.7968,-0.685161
124,38.9846,71.3667,-2.84588
127,6.01791,15.8066,-0.394904
128,0.784707,3.33786,-1.75407
129,5.17788,15.8169,-0.285145
130,7.05795,15.8563,-0.494617
131,1.60536,5.63763,-1.72426
132,3.66644,9.07698,-2.02432
133,6.13783,15.9166,0.00510958
134,8.07788,15.886,-0.204332
135,4.32722,11.8268,-2.00464
136,6.45806,14.6462,-2.08456
137,5.21781,15.9169,0.0848477
138,7.11788,15.9863,-0.0946245
139,5.98825,15.5763,-1.82487
140,7.96825,15.7058,-1.67433
141,6.1077,15.8467,0.395114
142,8.08777,15.9161,0.205665
143,6.0181,15.6765,-1.18488
144,6.97818,15.7061,-1.42461
145,5.17766,15.817,0.484855
146,7.07774,15.8964,0.305381
147,5.19813,15.8867,-1.08515
148,13.9313,26.2941,-1.75461
151,10.9414,26.815,-1.35556
152,12.4113,26.5545,-1.54509
155,5.17799,15.7968,-0.685141
156,39.2646,71.2866,-2.84579
159,6.08792,15.8266,-0.394888
160,0.80471,3.34785,-1.75406
161,5.23788,15.7968,-0.285124
162,7.11795,15.8363,-0.504596
163,1.63537,5.65761,-1.73426
164,3.69644,9.07697,-2.02431
165,6.20783,15.9166,0.00512951
166,8.15789,15.916,-0.204315
167,4.37722,11.8068,-2.00463
168,6.50805,14.6261,-2.07454
169,5.2878,15.9069,0.0848694
170,7.17787,15.9563,-0.0946018
171,6.05825,15.5763,-1.83485
172,8.03825,15.6958,-1.68431
173,6.1677,15.8467,0.395131
174,8.14776,15.8861,0.205687
175,6.0981,15.6864,-1.19486
176,7.04818,15.7061,-1.43459
177,5.24766,15.817,0.484875
178,7.14773,15.8864,0.305403
179,5.26813,15.8767,-1.08513
180,14.0413,26.264,-1.75457
183,11.0413,26.795,-1.35552
184,12.5213,26.5245,-1.55505
187,5.24799,15.7968,-0.675121
188,39.3745,70.8665,-2.83568
191,6.16792,15.8366,-0.394867
192,0.824713,3.34784,-1.76406
193,5.30788,15.8068,-0.285106
194,7.18795,15.8362,-0.504577
195,1.68539,5.6976,-1.75425
196,3.73643,9.05696,-2.02429
197,6.26783,15.9166,0.00514659
198,8.23789,15.916,-0.204293
199,4.41722,11.8068,-2.00461
200,6.56805,14.6061,-2.08452
201,5.3478,15.9069,0.0848865
202,7.23787,15.9463,-0.0945828
203,6.12826,15.5863,-1.83483
204,8.11825,15.7058,-1.68429
205,6.22769,15.8067,0.395156
206,8.22777,15.9061,0.205706
207,6.1681,15.6864,-1.19484
208,7.11818,15.6961,-1.43457
209,5.31766,15.817,0.484895
210,7.21774,15.8964,0.305421
211,5.33813,15.8767,-1.08511
212,14.1513,26.234,-1.75453
215,11.1513,26.7749,-1.35549
216,12.6113,26.5045,-1.55502
219,5.30799,15.8068,-0.685106
220,39.5544,70.6065,-2.83558
223,6.23793,15.8665,-0.394853
224,0.854722,3.36783,-1.77405
225,5.36788,15.8068,-0.285089
226,7.27797,15.8762,-0.514558
227,1.69538,5.68759,-1.75425
228,3.76643,9.03695,-2.02428
229,6.32783,15.9066,0.00516554
230,8.30789,15.916,-0.204273
231,4.45721,11.7668,-2.0046
232,6.59804,14.5761,-2.08451
233,5.40781,15.9169,0.0849017
234,7.30786,15.9363,-0.094561
235,6.18826,15.5863,-1.83481
236,8.19825,15.7157,-1.68427
237,6.27768,15.7967,0.405172
238,8.30777,15.9061,0.205729
239,6.2281,15.6864,-1.19482
240,7.17818,15.6961,-1.43455
241,5.38767,15.8469,0.484909
242,7.28773,15.8964,0.315441
243,5.40814,15.9066,-1.0851
244,14.2513,26.214,-1.7545
247,11.2513,26.7649,-1.36546
248,12.7313,26.4845,-1.55498
251,5.36799,15.7967,-0.685087
252,39.7543,70.4164,-2.83549
255,6.28792,15.8365,-0.394833
256,0.864719,3.35783,-1.77405
257,5.43788,15.8168,-0.285071
258,7.34797,15.8762,-0.514538
259,1.70537,5.65759,-1.74424
260,3.79642,9.02694,-2.02427
261,6.39783,15.9166,0.0051836
262,8.3879,15.946,-0.204255
263,4.4972,11.7567,-2.00458
264,6.66803,14.5661,-2.08449
265,5.46779,15.8769,0.0849263
266,7.38787,15.9463,-0.0945401
267,6.25826,15.5963,-1.8448
268,8.26825,15.7057,-1.69424
269,6.35769,15.8167,0.395191
270,8.38777,15.916,0.20575
271,6.29811,15.6964,-1.2048
272,7.25818,15.7061,-1.43453
273,5.43766,15.8069,0.484931
274,7.33773,15.8864,0.305457
275,5.47814,15.9066,-1.09508
276,14.3713,26.2039,-1.75447
279,11.3513,26.7449,-1.36543
280,12.8413,26.4744,-1.55495
283,5.43799,15.8067,-0.685069
284,39.8542,70.0164,-2.82538
287,6.35791,15.8165,-0.394809
288,0.864713,3.33783,-1.77405
289,5.48788,15.8068,-0.285055
290,7.41796,15.8662,-0.514517
291,1.71536,5.62759,-1.73423
292,3.83642,9.01693,-2.02426
293,6.45783,15.9166,0.00520068
294,8.44789,15.9059,-0.204231
295,4.54721,11.7567,-2.01457
296,6.71803,14.5461,-2.08447
297,5.5378,15.9168,0.0949388
298,7.45787,15.9462,-0.0945202
299,6.31826,15.5862,-1.84478
300,8.34825,15.7157,-1.69422
301,6.43769,15.8366,0.39521
302,8.43776,15.876,0.205772
303,6.36811,15.6964,-1.20478
304,7.32818,15.716,-1.44451
305,5.50767,15.8369,0.484945
306,7.43774,15.9163,0.30548
307,5.53814,15.9166,-1.09506
308,14.4813,26.1839,-1.76443
311,11.4513,26.7349,-1.3654
312,12.9513,26.4544,-1.55492
315,5.51801,15.8567,-0.685056
316,40.1142,69.9063,-2.81529
319,6.42792,15.8365,-0.394793
320,0.884713,3.33782,-1.77404
321,5.54788,15.7968,-0.285036
322,7.48797,15.8762,-0.514499
323,1.72535,5.59759,-1.73422
324,3.86642,9.00692,-2.02425
325,6.53783,15.9265,0.0052216
326,8.53789,15.9159,-0.204207
327,4.5772,11.7267,-2.01455
328,6.76802,14.5061,-2.08445
329,5.5978,15.8968,0.0949596
330,7.52787,15.9662,-0.094504
331,6.38826,15.5862,-1.84476
332,8.41825,15.7257,-1.68421
333,6.5077,15.8466,0.395228
334,8.53777,15.926,0.205791
335,6.4181,15.6863,-1.19477
336,7.40818,15.716,-1.44449
337,5.56767,15.8469,0.48496
338,7.49774,15.8963,0.3055
339,5.59814,15.9166,-1.09504
340,14.5913,26.1639,-1.7644
343,11.5913,26.7548,-1.36536
344,13.0513,26.4344,-1.55488
347,5.568,15.8267,-0.685036
348,40.3541,69.7563,-2.82519
351,6.49792,15.8265,-0.394771
352,0.894713,3.34782,-1.76404
353,5.62788,15.7967,-0.285013
354,7.55797,15.8761,-0.514479
