-153.53,752.634,-12.4825
0.97607,-0.216567,-0.0196729
0.217179,0.975405,0.037658
0.0110336,-0.0410294,0.999097
0,-2.72567,3.14119,-1.72826
1,-12.4509,15.6131,-0.372143
2,-10.2812,15.6886,-0.566911
3,-4.18236,4.98389,-1.69174
4,-5.7173,8.11583,-1.90963
5,-11.3701,15.7124,-0.0347326
6,-9.28046,15.728,-0.239123
7,-7.42419,9.81904,-1.85211
8,-8.15004,12.1504,-1.82884
9,-12.5099,15.6848,0.06773
10,-10.3202,15.7602,-0.13708
11,-9.80775,13.3736,-1.75972
13,-11.3094,15.6238,0.385458
14,-9.24974,15.6794,0.150988
15,-11.2231,15.4876,-1.32425
16,-10.1635,15.5051,-1.50651
17,-12.4092,15.5562,0.517979
18,-10.2595,15.6615,0.263146
19,-12.3331,15.4498,-1.25182
20,-9.20242,15.575,-1.05875
21,-11.2581,15.5461,1.04563
22,-10.2786,15.7031,0.693043
23,-11.2622,15.5392,-0.904351
24,-10.2023,15.567,-0.986649
27,-12.3621,15.4914,-0.811901
28,-9.27135,15.7165,-0.659105
29,-14.6676,20.6718,6.61464
30,-15.1853,23.877,5.01437
31,-11.3211,15.6508,-0.46462
32,-2.71567,3.14117,-1.72828
33,-12.341,15.583,-0.362264
34,-10.2012,15.6885,-0.567077
35,-4.13239,4.95384,-1.68174
36,-5.69726,8.1358,-1.90974
37,-11.3001,15.7223,-0.0349127
38,-9.21046,15.7279,-0.239268
39,-7.38415,9.83897,-1.85226
40,-8.10002,12.1603,-1.82898
41,-12.4199,15.6846,0.0675439
42,-10.2402,15.7601,-0.137245
43,-9.7577,13.4035,-1.75993
44,-9.10376,15.5327,-1.66881
45,-11.2293,15.6337,0.385257
46,-9.1897,15.6993,0.150793
47,-11.1531,15.4875,-1.3244
48,-10.0935,15.505,-1.49666
49,-12.3192,15.556,0.517793
50,-10.1696,15.6514,0.262996
51,-12.2431,15.4397,-1.25197
52,-9.12242,15.5749,-1.05892
53,-11.1781,15.5459,1.04547
54,-10.2185,15.723,0.692848
55,-11.1822,15.549,-0.904552
56,-10.1323,15.5769,-0.986829
59,-12.2821,15.5013,-0.812102
60,-9.20135,15.7164,-0.65925
61,-14.5975,20.7316,6.61428
62,-15.1251,23.967,5.02393
63,-11.2511,15.6507,-0.464765
64,-2.69567,3.14114,-1.72832
65,-12.241,15.5628,-0.3624
66,-10.1312,15.6883,-0.577221
67,-4.11237,4.95384,-1.67178
68,-5.66725,8.14574,-1.90984
69,-11.23,15.7422,-0.0351282
70,-9.14048,15.7178,-0.239377
71,-7.35412,9.85892,-1.85239
72,-8.05997,12.1903,-1.82917
73,-12.3399,15.6945,0.0673431
74,-10.1602,15.7499,-0.137375
75,-9.69764,13.4234,-1.75013
