-154.994,752.242,-12.5182
0.976593,-0.214559,-0.0151751
0.215009,0.97576,0.0407886
0.00605574,-0.0430967,0.999053
0,-2.68392,3.2817,-1.74132
1,-11.7214,15.5997,-0.239147
2,-9.63181,15.6773,-0.434762
3,-4.06097,5.13351,-1.67042
4,-5.62656,8.54677,-1.90308
5,-10.6803,15.6969,0.0882814
6,-8.65088,15.6946,-0.117466
7,-7.36363,10.3992,-1.84116
8,-8.09978,12.9302,-1.8095
9,-11.7701,15.6581,0.191216
10,-9.6705,15.7557,-0.0143514
11,-9.89737,14.4426,-1.7487
12,-8.57509,15.5498,-1.52824
13,-10.5993,15.5752,0.497597
14,-8.63981,15.6731,0.272426
15,-10.5542,15.5015,-1.18283
16,-9.54463,15.5306,-1.35557
17,-11.689,15.5563,0.630607
18,-9.61951,15.6642,0.385162
19,-11.624,15.4728,-1.10991
20,-8.60333,15.5876,-0.928014
22,-9.63826,15.7026,0.805366
23,-10.6927,15.7101,-0.771643
24,-9.58312,15.5988,-0.855202
27,-11.7226,15.6013,-0.679142
28,-8.66202,15.7062,-0.527395
29,-13.5154,20.2168,6.52347
30,-13.9947,23.4732,5.03713
31,-10.6716,15.6585,-0.341893
32,-2.67392,3.28169,-1.74135
33,-11.6314,15.5895,-0.23944
34,-9.57179,15.6872,-0.434895
35,-4.06091,5.17351,-1.67027
36,-5.60653,8.56674,-1.90306
37,-10.6003,15.6868,0.088017
38,-8.57091,15.6745,-0.117768
39,-7.32359,10.4291,-1.84116
40,-8.03975,12.9501,-1.8096
41,-11.6801,15.668,0.190999
42,-9.58055,15.7256,-0.0147197
43,-9.83732,14.4725,-1.74875
44,-8.51507,15.5597,-1.52838
45,-10.5194,15.5551,0.497294
46,-8.56982,15.663,0.27219
47,-10.4842,15.5114,-1.18299
48,-9.47463,15.5305,-1.35577
49,-11.6289,15.5862,0.63055
50,-9.53952,15.654,0.384898
51,-11.554,15.4727,-1.10011
52,-8.53332,15.5975,-0.928175
54,-9.58823,15.7225,0.805299
55,-10.6127,15.71,-0.77187
56,-9.51309,15.5987,-0.8454
59,-11.6426,15.6012,-0.679369
60,-8.59201,15.7161,-0.527556
61,-13.4652,20.3067,6.53367
62,-13.9446,23.5532,5.02729
63,-10.5816,15.6484,-0.342186
64,-2.64391,3.2716,-1.73147
65,-11.5414,15.5694,-0.239771
66,-9.50178,15.6971,-0.435055
67,-4.09089,5.24367,-1.69992
68,-5.56651,8.57668,-1.90314
69,-10.5503,15.7167,0.0879888
70,-8.52088,15.6944,-0.117834
71,-7.29356,10.449,-1.84117
72,-7.98974,12.96,-1.8097
73,-11.64,15.7079,0.191037
74,-9.51056,15.7155,-0.0149557
75,-9.79729,14.4925,-1.74879
76,-8.45509,15.5496,-1.52858
77,-10.4693,15.595,0.497304
78,-8.49984,15.6529,0.271954
79,-10.4142,15.5112,-1.17319
80,-9.41462,15.5404,-1.3559
81,-11.539,15.5661,0.63022
82,-9.46954,15.6439,0.384662
83,-11.474,15.4726,-1.10034
84,-8.4833,15.6074,-0.928279
86,-9.50824,15.7124,0.805035
87,-10.5427,15.6999,-0.772106
88,-9.45307,15.6086,-0.845532
91,-11.5626,15.5911,-0.679633
92,-8.53202,15.706,-0.527764
93,-13.4251,20.3866,6.54386
94,-13.8745,23.633,5.0474
95,-10.5016,15.6382,-0.332451
96,-2.6339,3.29163,-1.74143
97,-11.4714,15.5893,-0.239893
98,-9.41181,15.677,-0.435385
99,-4.07083,5.28364,-1.69983
100,-5.53648,8.59663,-1.90315
101,-10.4603,15.7165,0.0877338
102,-8.44088,15.6943,-0.118061
103,-7.25353,10.469,-1.84121
104,-7.93969,12.9899,-1.80973
105,-11.53,15.6878,0.19065
106,-9.45052,15.7454,-0.0150123
107,-9.73725,14.5224,-1.74885
108,-8.37506,15.5495,-1.51881
109,-10.3693,15.5649,0.496907
110,-8.43981,15.6728,0.271859
111,-10.3441,15.5211,-1.17335
112,-9.33462,15.5403,-1.35613
113,-11.4689,15.586,0.630097
114,-9.39951,15.6638,0.384539
115,-11.394,15.4624,-1.1006
