-292.144,716.153,-19.0536
0.960245,-0.271314,-0.0657086
0.268793,0.962158,-0.0447465
0.0753624,0.0253057,0.996835
0,-2.84971,3.66649,-1.9454
1,-14.5009,20.1584,-0.425416
2,-62.13,113.045,-3.7728
3,-4.41498,5.85274,-1.91675
4,-5.381,8.35043,-1.88742
6,-57.1724,117.237,-1.53696
7,-6.99528,10.1066,-1.82888
8,-7.78164,12.7647,-1.83934
9,-14.4412,20.0685,0.124635
11,-9.41489,14.0908,-1.77088
12,-9.10227,17.1715,-1.77012
16,-10.9257,18.5572,-1.71186
17,-14.4117,20.0285,0.684661
20,-44.9468,91.7964,-5.94759
23,-57.2905,92.9667,-5.0905
24,-51.9229,94.2197,-5.63464
28,-52.7475,108.028,-4.20357
31,-66.5995,108.294,-2.9782
32,-2.82969,3.65654,-1.94538
34,-61.0879,112.158,-3.73182
35,-4.39503,5.87279,-1.91672
36,-5.36104,8.37048,-1.8974
38,-56.3109,116.589,-1.52614
39,-6.95533,10.1267,-1.82884
40,-7.73169,12.7848,-1.83929
41,-14.3915,20.1786,0.124703
43,-9.36497,14.1209,-1.77083
44,-9.04235,17.2017,-1.77005
47,-43.2859,70.5003,-5.76882
48,-10.8256,18.5474,-1.71175
49,-14.372,20.1486,0.684719
51,-48.3571,70.8481,-5.48414
52,-44.6273,92.0272,-5.94722
55,-56.9812,93.2675,-5.10013
56,-51.5835,94.4605,-5.64424
60,-52.2778,108.129,-4.20306
63,-74.8643,122.974,-3.38489
64,-2.80971,3.66659,-1.94536
65,-88.3453,131.492,-2.80796
66,-60.4474,111.909,-3.71118
67,-4.37506,5.88284,-1.9167
68,-5.33109,8.39055,-1.89736
70,-55.439,115.801,-1.51533
71,-6.92537,10.1467,-1.8288
72,-7.68173,12.8049,-1.83923
73,-14.3718,20.2986,0.12474
75,-9.30504,14.151,-1.77076
76,-8.98244,17.2418,-1.76998
79,-43.2571,71.0204,-5.79872
80,-10.7356,18.5376,-1.70166
81,-14.3623,20.2586,0.684745
83,-48.559,71.6977,-5.54424
84,-44.2876,92.158,-5.94684
87,-56.6416,93.4383,-5.09974
88,-51.2539,94.6413,-5.64387
91,-63.5942,94.2916,-4.64698
92,-51.7776,108.04,-4.19254
95,-74.2341,122.906,-3.37423
96,-2.79973,3.67661,-1.94534
97,-88.2471,132.232,-2.81775
98,-59.8466,111.6,-3.70058
99,-4.35506,5.88289,-1.91668
100,-5.30111,8.40063,-1.89733
102,-54.8382,115.452,-1.50474
103,-6.89545,10.1768,-1.82877
104,-7.65183,12.845,-1.83919
105,-14.342,20.3987,0.124786
107,-9.26511,14.1811,-1.77071
108,-8.92247,17.252,-1.76992
111,-43.0374,71.1409,-5.79847
112,-10.6556,18.5378,-1.70157
113,-14.3225,20.3487,0.6948
115,-13.0758,18.472,-1.42414
116,-43.9577,92.2088,-5.94649
119,-56.4123,93.7189,-5.09946
120,-51.0246,94.9218,-5.65359
123,-63.395,94.6321,-4.65672
124,-51.3073,107.911,-4.18206
127,-73.5334,122.608,-3.35353
128,-2.78976,3.68664,-1.94533
129,-88.0288,132.953,-2.82742
130,-59.2363,111.452,-3.68996
131,-4.3351,5.90294,-1.91666
132,-5.26115,8.41072,-1.88728
134,-54.1674,115.124,-1.49408
135,-6.86552,10.2069,-1.82873
136,-7.60188,12.8651,-1.83914
139,-9.21518,14.2112,-1.77066
140,-8.86256,17.2921,-1.76985
143,-42.8682,71.4613,-5.81825
144,-10.5756,18.538,-1.70149
145,-14.3028,20.4887,0.69484
147,-12.9958,18.5022,-1.42406
148,-43.6684,92.4695,-5.94615
151,-56.113,93.9996,-5.1091
152,-50.8157,95.3723,-5.6633
155,-62.9652,94.7231,-4.64626
156,-50.7569,107.772,-4.1615
159,-72.6824,122.19,-3.33269
160,-2.77978,3.69666,-1.94532
161,-87.8708,133.783,-2.83714
162,-58.7263,111.463,-3.67942
163,-4.30513,5.91301,-1.91662
164,-5.24121,8.44077,-1.89726
166,-53.4363,114.646,-1.48337
167,-6.81554,10.217,-1.82868
168,-7.55193,12.8852,-1.83908
171,-9.16525,14.2414,-1.7706
172,-8.80263,17.3222,-1.76978
176,-10.4856,18.5382,-1.69139
177,-14.2631,20.5888,0.694897
179,-47.0977,71.1012,-5.45278
180,-43.3388,92.6303,-5.94577
183,-55.8237,94.3003,-5.10876
184,-50.4159,95.4633,-5.65287
187,-62.7563,95.1736,-4.65597
188,-50.2568,107.714,-4.16098
191,-72.2431,122.451,-3.33218
192,-2.76981,3.70668,-1.94531
193,-87.5722,134.354,-2.84674
194,-58.2263,111.454,-3.66889
195,-4.29518,5.93303,-1.91661
196,-5.21123,8.45084,-1.89723
198,-52.8759,114.477,-1.4828
199,-6.78561,10.2471,-1.82864
200,-7.50197,12.9054,-1.83903
201,-14.1224,20.5392,0.125038
203,-9.1153,14.2615,-1.77054
204,-8.77289,17.4323,-1.77974
208,-10.4056,18.5384,-1.69131
212,-43.0393,92.851,-5.95543
215,-55.4941,94.4911,-5.10838
216,-50.0562,95.5842,-5.65247
219,-62.4268,95.3844,-4.65559
220,-49.7566,107.615,-4.14046
223,-70.5083,120.455,-3.27063
224,-2.74978,3.69673,-1.94529
225,-87.394,135.114,-2.85645
226,-57.666,111.316,-3.65832
227,-4.2752,5.94308,-1.91659
228,-5.18128,8.47091,-1.89719
230,-52.2149,114.058,-1.47216
231,-6.75566,10.2671,-1.82861
232,-7.47207,12.9454,-1.83899
235,-9.0654,14.3016,-1.77049
236,-8.73301,17.4824,-1.77969
239,-11.4055,18.386,-1.48239
240,-10.3056,18.5086,-1.69121
243,-12.9367,18.8523,-1.43394
244,-42.7699,93.1217,-5.9651
247,-55.1947,94.7218,-5.10803
248,-49.7969,95.9048,-5.66215
251,-62.1676,95.725,-4.66527
252,-49.377,107.786,-4.14004
255,-69.7676,120.137,-3.25989
256,-2.73981,3.70676,-1.94528
257,-87.3663,136.104,-2.86628
258,-57.1157,111.187,-3.64775
259,-4.25522,5.95313,-1.91656
260,-5.15128,8.47098,-1.89716
262,-51.755,114.13,-1.47166
263,-6.72575,10.3072,-1.83857
264,-7.41212,12.9656,-1.83892
267,-9.01547,14.3317,-1.77043
268,-8.64295,17.4526,-1.7696
271,-42.1006,72.5032,-5.84729
272,-10.2356,18.5388,-1.68113
275,-12.8868,18.9124,-1.43388
276,-42.4402,93.2324,-5.95474
279,-54.8853,94.9625,-5.11767
280,-49.5276,96.2054,-5.67182
283,-61.8582,95.9757,-4.66491
284,-48.9069,107.737,-4.13955
287,-69.9507,121.436,-3.2899
288,-2.71983,3.7168,-1.94525
289,-87.3085,137.005,-2.87609
290,-56.6457,111.178,-3.64726
291,-4.22525,5.9632,-1.91653
292,-5.12133,8.49106,-1.89713
294,-51.295,114.101,-1.47118
295,-6.6858,10.3273,-1.83852
296,-7.37217,12.9857,-1.83888
299,-8.96554,14.3618,-1.77037
300,-8.57295,17.4528,-1.76952
302,-61.1518,136.407,1.68152
303,-42.0818,73.0132,-5.8772
304,-10.1757,18.5589,-1.68106
307,-13.0979,19.3819,-1.47404
308,-42.221,93.583,-5.97446
311,-54.6661,95.293,-5.11739
312,-49.1879,96.3162,-5.67145
315,-61.6491,96.3563,-4.67463
316,-48.497,107.788,-4.12911
319,-68.7077,120.179,-3.24876
320,-2.70983,3.71683,-1.94524
321,-86.9396,137.496,-2.88563
322,-56.1356,111.129,-3.63672
323,-4.2153,5.98322,-1.91652
324,-5.09138,8.51113,-1.89709
326,-50.7948,114.052,-1.47066
327,-6.64582,10.3374,-1.83848
328,-7.33224,13.0158,-1.83883
331,-8.92561,14.3919,-1.77032
332,-8.77442,18.0923,-1.82964
335,-41.9828,73.4235,-5.89703
336,-10.0756,18.5292,-1.68096
339,-12.9377,19.2823,-1.46388
340,-41.8712,93.6738,-5.96407
343,-54.3365,95.4938,-5.12701
