-159.508,751.063,-12.5664
197,-8.55638,15.7697,-0.0073726
199,-6.49783,11.5747,-2.00905
200,-7.06534,14.5052,-2.00262
201,-9.49699,15.6803,0.0766137
202,-7.62579,15.7793,-0.101689
203,-8.40539,15.4859,-1.85746
204,-6.65721,15.6033,-1.53643
205,-8.4988,15.6384,0.372544
207,-8.44923,15.5437,-1.21751
208,-7.53823,15.5935,-1.37181
209,-9.46958,15.6388,0.496651
210,-7.59815,15.708,0.278248
211,-9.39972,15.5243,-1.14335
214,-7.62054,15.7566,0.678285
215,-8.51153,15.6924,-0.81738
216,-7.61095,15.752,-0.90171
219,-9.45212,15.623,-0.733326
221,-10.0177,18.6722,5.56366
222,-10.4677,22.3364,4.43324
223,-8.50405,15.6611,-0.40743
224,-2.33609,3.49042,-1.79099
225,-9.3946,15.6315,-0.322938
226,-7.53347,15.7205,-0.491336
227,-3.60426,5.69148,-1.78128
228,-4.81963,9.34336,-2.02637
229,-8.47641,15.7397,-0.00698803
230,-6.65528,15.7487,-0.185898
231,-6.45782,11.5947,-2.00874
232,-7.00534,14.5052,-2.00226
233,-9.44696,15.7202,0.0770523
234,-7.56579,15.7792,-0.101325
235,-8.33546,15.4858,-1.84703
236,-6.5972,15.6132,-1.53603
237,-8.43887,15.6283,0.382874
238,-6.64757,15.6975,0.183985
239,-8.38921,15.5737,-1.21705
240,-7.46823,15.5934,-1.37139
241,-9.38953,15.6188,0.487069
242,-7.51819,15.6679,0.278598
243,-9.32971,15.5342,-1.14289
244,-6.66047,15.7714,-0.975872
246,-7.5606,15.7666,0.688683
247,-8.44155,15.6724,-0.817022
248,-7.53103,15.7319,-0.891292
251,-9.39212,15.6229,-0.732962
252,-6.64292,15.74,-0.575862
253,-9.96773,18.7321,5.57417
254,-10.4077,22.4163,4.44388
255,-8.44404,15.671,-0.407032
256,-2.32609,3.49041,-1.79093
257,-9.3246,15.6415,-0.322479
258,-7.48347,15.7205,-0.491032
259,-3.59424,5.72147,-1.78112
260,-4.77962,9.35332,-2.02609
261,-8.41639,15.7696,-0.00652249
262,-6.58529,15.7387,-0.185507
263,-6.40787,11.6046,-1.9984
264,-6.95532,14.5251,-2.00189
265,-9.36697,15.7101,0.0775043
266,-7.49586,15.7691,-0.0909339
267,-8.28546,15.4857,-1.84673
268,-6.52721,15.6032,-1.53564
269,-8.35887,15.6383,0.383394
270,-6.57757,15.6974,0.18441
271,-8.31921,15.5736,-1.21662
272,-7.40824,15.5834,-1.37106
273,-9.32953,15.6187,0.487434
274,-7.46817,15.6979,0.279003
275,-9.25971,15.5342,-1.14247
276,-6.59054,15.7613,-0.965481
278,-7.50047,15.7766,0.669082
279,-8.38154,15.6823,-0.816624
280,-7.48101,15.7618,-0.890888
283,-9.32211,15.6328,-0.732503
284,-6.58294,15.72,-0.575565
285,-9.91773,18.8121,5.58474
286,-10.3577,22.5063,4.45448
287,-8.37398,15.671,-0.416607
288,-2.31608,3.5104,-1.7908
289,-9.25461,15.6314,-0.322088
290,-7.41347,15.7204,-0.490607
291,-3.61398,5.81159,-1.81093
292,-4.74962,9.36329,-2.02587
293,-8.33641,15.7396,-0.00613792
294,-6.52529,15.7486,-0.185109
295,-6.36785,11.6246,-1.99809
296,-6.89532,14.5351,-2.00149
297,-9.29696,15.7201,0.0779631
298,-7.43584,15.7891,-0.0905021
299,-8.20546,15.4857,-1.84624
300,-6.46721,15.6031,-1.53528
301,-8.29886,15.6482,0.383792
302,-6.51756,15.7174,0.184842
303,-8.24929,15.5535,-1.20626
304,-7.33825,15.5833,-1.37063
305,-9.24954,15.6087,0.487886
306,-7.39817,15.6978,0.279428
307,-9.2097,15.5441,-1.14213
