-250.035,728.109,-16.3701
0.973079,-0.222356,-0.0606147
0.22077,0.974808,-0.0317914
0.0661567,0.0175536,0.997655
0,-1.02669,4.24918,-1.98704
1,-7.59988,48.9051,-0.886957
2,-2.68761,46.7983,-1.37823
3,-1.46866,6.97889,-1.95893
4,-1.24066,9.84904,-1.96982
5,-4.97967,46.6573,-0.0218113
6,-0.447347,44.5002,-0.523667
7,-1.9525,12.3986,-1.94206
9,-7.46095,47.8757,0.243714
10,-2.64854,45.6388,-0.277662
11,-2.1949,15.1085,-1.63363
12,-0.772899,10.8598,-1.00952
13,-2.21824,15.3894,0.346212
14,-0.45903,44.6107,0.486267
15,-2.19587,15.1988,-1.06367
16,-1.44558,15.1992,-1.24248
17,-2.97839,15.3889,0.435004
18,-1.4581,15.4099,0.247411
19,-2.96606,15.3183,-0.994947
20,-0.726275,15.3899,-0.891418
22,-1.47879,15.55,0.617318
23,-2.20652,15.3389,-0.713749
24,-1.46642,15.3894,-0.802594
27,-2.96663,15.3084,-0.634943
28,-0.426564,45.8498,-1.61422
31,-5.07874,47.8467,-1.13249
32,-1.01669,4.23919,-1.98702
33,-7.41982,48.8252,-0.886636
34,-2.52755,46.7084,-1.37794
35,-1.44866,6.9789,-1.9589
36,-1.21066,9.84906,-1.96977
37,-4.82962,46.5874,-0.0215424
38,-0.297291,44.4204,-0.523394
39,-1.91251,12.4086,-1.94201
40,-1.26261,11.4892,-1.47057
41,-7.3009,47.8058,0.243999
42,-2.48849,45.5689,-0.277377
43,-2.1349,15.1086,-1.63354
44,-0.732899,10.8598,-1.00945
45,-2.16825,15.3994,0.346287
46,-0.298981,44.5408,0.486552
47,-2.14586,15.1888,-1.06359
48,-1.39559,15.2093,-1.2424
49,-2.9384,15.4089,0.435059
50,-1.40812,15.4199,0.257487
51,-2.91606,15.3183,-0.994868
52,-0.676289,15.4099,-0.891347
54,-1.40878,15.5401,0.617434
55,-2.15652,15.3389,-0.713669
56,-1.41642,15.3894,-0.802515
59,-2.91664,15.3284,-0.634873
60,-0.276501,45.7599,-1.61395
63,-4.91869,47.7668,-1.1322
64,-0.996718,4.23921,-1.96699
65,-7.23977,48.7253,-0.876307
66,-2.36753,46.6585,-1.36766
67,-1.41867,6.98892,-1.95886
68,-1.18066,9.84909,-1.96973
69,-4.64956,46.5075,-0.0212213
70,-0.147249,44.3605,-0.523129
71,-1.86252,12.4186,-1.94193
73,-7.11083,47.7259,0.234336
74,-2.32844,45.489,-0.277088
75,-2.0849,15.1086,-1.63346
76,-0.692906,10.8698,-1.00939
77,-2.10824,15.3894,0.346387
78,-0.617981,15.4204,0.168742
79,-2.09587,15.1988,-1.06351
80,-1.34558,15.1993,-1.24232
