-137.268,757.103,-12.0531
0.970148,-0.241048,-0.0266329
0.241949,0.969528,0.0384108
0.0165625,-0.0437079,0.998907
0,0.749627,3.5931,-1.80701
1,12.933,48.4059,-0.864837
2,5.5567,15.9764,-0.50579
4,2.8273,8.95014,-1.91648
5,4.69656,16.0276,-0.00616131
6,6.4966,15.995,-0.20539
7,3.12063,11.3097,-1.85652
8,4.67402,13.6875,-1.86601
9,3.84655,16.0488,0.073474
10,5.59664,16.0563,-0.105779
11,4.58689,15.7277,-1.78619
12,6.42697,15.835,-1.61541
13,4.65619,15.8877,0.373831
14,6.50647,16.0251,0.184612
15,4.62673,15.8076,-1.15618
16,5.49686,15.8264,-1.37581
17,3.79616,15.8889,0.463463
18,5.57637,15.9864,0.284217
19,3.78672,15.8288,-1.05654
20,6.46684,15.925,-1.0154
21,4.63589,15.8478,0.953825
22,5.58632,16.0664,0.684216
23,4.67683,15.9876,-0.786167
24,5.58694,16.0263,-0.905781
27,12.7325,47.7161,-2.01488
28,6.5068,16.015,-0.615387
31,4.67665,15.9776,-0.396166
32,0.749613,3.5831,-1.807
33,13.1633,48.6355,-0.874754
34,5.62671,15.9863,-0.505761
35,1.36301,5.98223,-1.7669
36,2.85728,8.9401,-1.91647
37,4.74653,16.0075,-0.0061386
38,6.55661,16.005,-0.205365
39,3.16062,11.2997,-1.8565
40,4.71398,13.6575,-1.86599
41,3.89654,16.0388,0.0734961
42,5.65664,16.0562,-0.105753
43,4.6569,15.7376,-1.78616
44,6.48698,15.845,-1.61538
45,4.70619,15.8876,0.373852
46,30.4115,68.9211,0.871242
47,4.68675,15.8176,-1.15615
48,5.56687,15.8363,-1.38578
49,3.85614,15.8788,0.46349
50,5.62637,15.9863,0.284239
51,3.83672,15.8288,-1.05652
52,6.52686,15.9349,-1.02537
53,4.69589,15.8477,0.953851
54,5.64627,16.0363,0.684244
55,4.7368,15.9675,-0.78614
56,5.64694,16.0262,-0.905755
59,12.8623,47.5859,-2.00481
60,6.5668,16.0149,-0.615361
63,4.73662,15.9575,-0.396139
64,0.759598,3.57308,-1.807
65,3.90651,15.9087,-0.296491
66,5.6867,15.9762,-0.505735
67,1.383,5.9722,-1.7669
68,2.89727,8.93004,-1.92645
69,4.81657,16.0374,-0.00611069
70,6.62664,16.0249,-0.205336
71,3.20062,11.2996,-1.85648
72,4.76396,13.6474,-1.86597
73,3.94648,15.9987,0.0735201
74,22.1757,57.4728,-0.341502
75,4.71689,15.7275,-1.78613
76,6.55698,15.8449,-1.61535
77,4.78625,15.9275,0.373884
78,6.60641,15.9849,0.184658
79,4.74674,15.8075,-1.16613
80,5.63687,15.8362,-1.38575
81,3.92621,15.9287,0.463516
82,5.68636,15.9762,0.284265
83,3.88671,15.8187,-1.05649
84,6.59686,15.9348,-1.02534
85,4.7559,15.8576,0.953876
86,5.70626,16.0262,0.68427
87,4.78682,15.9774,-0.786119
88,5.72701,16.0761,-0.905724
91,3.93673,15.9487,-0.676481
92,22.5472,51.0121,-1.94091
95,4.78662,15.9575,-0.396118
96,0.779584,3.56306,-1.80699
97,3.97649,15.8986,-0.28646
98,5.75671,15.9861,-0.505705
99,1.40298,5.96217,-1.76689
100,2.91726,8.92001,-1.92644
101,4.87654,16.0174,-0.0060837
102,6.69661,16.0048,-0.205305
103,3.24059,11.2796,-1.85646
104,4.81395,13.6373,-1.86595
105,15.0101,53.723,0.31569
106,5.7766,16.0261,-0.1057
107,4.77689,15.7274,-1.78611
108,6.627,15.8548,-1.62532
109,4.83624,15.9174,0.373906
110,6.67639,15.9648,0.184689
111,4.80675,15.8174,-1.1661
112,5.69687,15.8361,-1.38572
113,3.97616,15.8887,0.46354
114,5.75636,15.9761,0.284295
115,3.95672,15.8286,-1.05646
116,6.66689,15.9547,-1.02531
117,4.81589,15.8475,0.953902
118,5.77626,16.0261,0.6843
119,4.85682,15.9773,-0.786089
123,3.99674,15.9586,-0.676456
124,6.73691,16.0947,-0.615294
127,4.85661,15.9474,-0.396088
128,0.789584,3.56304,-1.80699
129,4.04651,15.9085,-0.296431
130,5.83672,15.996,-0.505672
131,1.41292,5.92216,-1.75688
132,2.95723,8.89995,-1.91642
133,4.94653,16.0073,-0.00605311
134,6.77662,16.0146,-0.205272
135,3.28056,11.2595,-1.85644
136,4.86391,13.6072,-1.86593
137,4.07646,15.9885,0.0735764
138,5.85665,16.066,-0.105668
139,4.83691,15.7373,-1.79608
140,6.69699,15.8447,-1.62529
141,4.90622,15.9073,0.373936
142,6.75641,15.9847,0.184722
