-195.456,742.098,-13.7226
0.976013,-0.211314,-0.0524029
0.211285,0.977405,-0.00615144
0.0525187,-0.00506805,0.998607
0,-0.08332,3.69922,-1.7834
1,0.977897,15.679,-0.262748
2,2.57799,15.7588,-0.462067
3,0.137034,6.10918,-1.73326
4,1.26772,9.80901,-1.99272
5,1.7878,15.8189,0.0075981
7,1.22813,12.539,-1.96269
8,2.51861,15.4888,-2.0021
9,0.987764,15.779,0.0872576
10,2.59785,15.8488,-0.0820573
11,1.72847,15.5089,-1.68243
12,3.35842,15.6387,-1.50174
13,1.76764,15.7189,0.367588
15,1.73824,15.5989,-1.09243
16,2.54832,15.6088,-1.29208
17,0.987598,15.719,0.457257
18,2.57768,15.7788,0.277933
19,2.17001,25.5289,-1.64208
20,3.4082,15.7987,-0.941714
22,2.57752,15.7488,0.647932
23,1.7681,15.7189,-0.722412
24,2.57815,15.7788,-0.832067
27,0.978053,15.669,-0.632748
28,3.40804,15.8087,-0.561714
31,1.76795,15.7189,-0.362412
32,-0.0733258,3.68922,-1.77339
33,1.0479,15.689,-0.262718
34,2.62799,15.7488,-0.462046
35,0.157038,6.10918,-1.74325
36,1.29772,9.80901,-1.99271
37,1.84781,15.8389,0.00762392
38,3.46788,15.7986,-0.181689
39,1.26813,12.539,-1.96268
40,2.57861,15.4888,-2.00207
41,1.05777,15.809,0.0872878
42,2.65785,15.8388,-0.082032
43,1.78848,15.5089,-1.69241
44,3.41842,15.6287,-1.50171
45,1.81764,15.7189,0.367609
46,3.45772,15.7586,0.188306
47,1.80824,15.6089,-1.1024
48,2.59833,15.6188,-1.30206
49,1.04759,15.699,0.457282
50,2.63768,15.7588,0.277958
51,2.26001,25.5089,-1.64204
52,3.45821,15.8087,-0.941693
54,2.63752,15.7588,0.647958
55,1.8181,15.7089,-0.732391
56,2.63815,15.7688,-0.832042
59,1.03806,15.689,-0.632723
60,3.46805,15.8186,-0.561688
63,1.82795,15.7189,-0.362387
64,-0.0633331,3.66921,-1.76339
65,1.0979,15.709,-0.262697
66,2.68799,15.7388,-0.462021
67,0.18705,6.15918,-1.75324
68,1.31772,9.789,-1.9927
69,1.8978,15.8089,0.00764466
70,3.52788,15.8086,-0.181663
71,1.31813,12.529,-1.96266
72,2.62861,15.4888,-2.00205
73,1.10777,15.799,0.0873089
74,2.70785,15.8488,-0.0820106
75,1.83848,15.5089,-1.69239
76,3.47842,15.6287,-1.50169
77,1.87764,15.7289,0.367635
78,3.51772,15.7886,0.188332
79,1.85824,15.6089,-1.10238
80,2.65833,15.6088,-1.30204
81,1.0976,15.709,0.457303
82,2.69768,15.7788,0.277984
83,2.34001,25.4988,-1.64201
84,3.5182,15.7986,-0.941667
86,2.68752,15.7487,0.647979
87,1.8781,15.7189,-0.732365
88,2.68816,15.7788,-0.84202
91,1.09806,15.699,-0.632697
92,3.51804,15.7886,-0.561667
95,1.87795,15.7189,-0.362365
96,-0.0633347,3.65921,-1.76339
97,1.1479,15.699,-0.262676
98,2.74799,15.7588,-0.461995
99,0.207041,6.12917,-1.74323
100,1.36772,9.789,-1.99268
101,1.9478,15.8089,0.0076659
102,3.57788,15.7886,-0.181642
103,1.35813,12.539,-1.96264
104,2.68861,15.4988,-2.01202
105,1.16777,15.799,0.0873344
106,2.76785,15.8387,-0.0819853
107,1.89848,15.5189,-1.69236
108,3.53842,15.6287,-1.51166
109,1.93764,15.7389,0.36766
110,3.58772,15.7986,0.188362
111,1.91824,15.6189,-1.10235
112,2.71833,15.6088,-1.30201
113,1.1576,15.719,0.457329
114,2.74768,15.7687,0.278005
115,2.43,25.4688,-1.63197
116,19.1181,70.5863,-4.24414
118,2.74752,15.7487,0.658005
119,1.9381,15.7289,-0.73234
120,2.74816,15.7588,-0.841995
123,1.15806,15.719,-0.632671
124,21.2487,78.0959,-2.80312
127,1.93795,15.7289,-0.36234
128,-0.0433347,3.65921,-1.76338
129,1.1979,15.689,-0.262655
130,2.80799,15.7487,-0.46197
131,0.227036,6.09917,-1.74322
132,1.39771,9.76899,-1.99267
133,2.0078,15.8089,0.00769139
134,3.64788,15.7986,-0.181612
135,1.40813,12.519,-1.96262
136,2.74861,15.4988,-2.012
137,1.22777,15.809,0.0873601
138,2.83785,15.8687,-0.081955
139,1.95848,15.5089,-1.69233
140,3.59842,15.6286,-1.51164
141,1.99764,15.7389,0.367686
142,3.63772,15.7686,0.188383
143,1.97824,15.6189,-1.10232
144,2.77833,15.6188,-1.30198
145,1.20759,15.699,0.45735
146,2.81768,15.7787,0.278035
147,2.52,25.4688,-1.63193
148,3.65821,15.8286,-0.951607
150,2.80751,15.7587,0.66803
151,1.9981,15.7189,-0.732314
152,2.80816,15.7688,-0.841969
155,1.20806,15.729,-0.63265
156,21.5187,77.9659,-2.803
159,1.99795,15.7189,-0.362314
160,-0.033342,3.63921,-1.75338
161,1.2579,15.709,-0.262629
162,2.86799,15.7387,-0.461944
163,0.247038,6.10917,-1.74322
164,1.43771,9.76899,-1.99265
165,2.0678,15.8089,0.00771688
166,3.70788,15.8186,-0.181586
167,1.44813,12.519,-1.9626
168,2.80861,15.5088,-2.01197
169,1.27777,15.829,0.0873816
170,2.87785,15.8587,-0.0819382
171,2.00848,15.5089,-1.69231
172,3.65842,15.6286,-1.51161
173,2.05764,15.7288,0.367711
174,3.70772,15.7986,0.188413
175,2.02824,15.6089,-1.1023
176,2.83833,15.6188,-1.30196
177,1.25759,15.699,0.457371
178,2.86768,15.7787,0.278056
179,2.61,25.4488,-1.6319
180,3.70821,15.8186,-0.951586
182,2.86752,15.7487,0.658056
183,2.0581,15.7289,-0.732289
184,2.86816,15.7787,-0.841944
187,1.25806,15.709,-0.632629
188,3.70804,15.8086,-0.561586
191,2.05795,15.7389,-0.362288
192,-0.013342,3.63921,-1.75337
193,1.3079,15.699,-0.262608
194,2.928,15.7887,-0.461918
195,0.267036,6.09916,-1.74321
196,1.46772,9.77898,-2.00264
197,2.1178,15.8088,0.00773812
198,3.74788,15.7886,-0.18157
199,1.49813,12.529,-1.97258
200,2.85861,15.4988,-2.01195
201,1.32777,15.809,0.0874025
202,2.93785,15.8487,-0.0819129
203,2.06848,15.5089,-1.69229
204,3.71842,15.6386,-1.51158
205,2.10764,15.7488,0.367733
206,3.75772,15.7786,0.188434
207,2.08824,15.6089,-1.10228
208,2.88833,15.6187,-1.30194
209,1.30759,15.689,0.457392
210,2.92768,15.7787,0.278082
211,2.68,25.4288,-1.63187
212,3.76821,15.8086,-0.951561
214,2.91752,15.7587,0.658077
215,2.1081,15.6989,-0.732268
216,2.92816,15.7787,-0.841918
219,1.30806,15.709,-0.632608
220,3.76805,15.8386,-0.56156
223,2.10795,15.7289,-0.362267
224,-0.00334204,3.63921,-1.75336
225,1.3679,15.719,-0.262582
226,2.97799,15.7587,-0.461897
227,0.297039,6.11916,-1.74319
228,1.49772,9.76898,-2.00262
229,2.1778,15.8088,0.0077636
230,3.81788,15.8086,-0.18154
231,1.53813,12.519,-1.97256
232,2.91861,15.5088,-2.01193
233,1.38777,15.809,0.087428
234,2.99785,15.8387,-0.0818876
235,2.11848,15.5089,-1.69227
236,3.77842,15.6386,-1.51156
237,2.16764,15.7488,0.367758
238,3.82773,15.8186,0.188465
239,2.12824,15.6089,-1.09226
240,2.94833,15.6187,-1.30191
241,1.3676,15.719,0.457418
242,2.98768,15.7887,0.278107
243,2.79,25.4288,-1.63182
244,3.81821,15.7986,-0.95154
246,2.96752,15.7587,0.658098
247,2.1481,15.7089,-0.732251
248,2.98816,15.7787,-0.841893
251,1.36806,15.729,-0.622582
252,3.81805,15.8186,-0.56154
255,2.16795,15.7388,-0.362242
256,0.00666376,3.6492,-1.76336
257,1.4279,15.719,-0.262556
258,3.038,15.7687,-0.461872
259,0.317048,6.14916,-1.75319
260,1.53772,9.76897,-2.00261
261,2.22779,15.7388,0.00778369
262,3.87788,15.7886,-0.181515
263,1.58813,12.509,-1.97254
264,2.97862,15.5187,-2.0219
265,1.43777,15.819,0.0874494
266,3.06785,15.8587,-0.0818575
267,2.17848,15.5189,-1.69224
268,3.82842,15.6286,-1.51154
269,2.22764,15.7488,0.367784
270,3.87772,15.7886,0.188485
271,2.19824,15.6189,-1.10223
272,3.00833,15.6287,-1.30189
273,1.4276,15.7089,0.457443
274,3.03768,15.7687,0.278128
275,2.85999,25.4088,-1.63179
276,3.88821,15.8186,-0.95151
278,3.03752,15.7587,0.658128
279,2.22811,15.7388,-0.732216
280,3.04816,15.7887,-0.841867
283,1.41806,15.719,-0.632561
284,3.88804,15.8086,-0.56151
287,2.22795,15.7388,-0.362216
288,0.0266711,3.6692,-1.77335
289,1.4779,15.689,-0.262536
290,3.108,15.7987,-0.461841
291,0.327024,6.04915,-1.73318
292,1.57772,9.75896,-2.00259
293,2.28779,15.7488,0.00780934
294,3.94788,15.8186,-0.181484
295,1.62813,12.519,-1.97252
296,3.03862,15.5087,-2.02188
297,1.49777,15.8089,0.0874747
298,3.12785,15.8587,-0.081832
299,2.23848,15.5189,-1.70222
300,3.89843,15.6386,-1.52151
301,2.28764,15.7488,0.367809
302,3.94773,15.8086,0.188515
303,2.25824,15.6188,-1.10221
304,3.06834,15.6387,-1.31186
305,1.4776,15.7189,0.457465
306,3.09768,15.7887,0.278154
307,1.46822,15.709,-1.01254
308,3.94821,15.8286,-0.951484
310,3.09752,15.7787,0.658154
311,2.2781,15.7188,-0.732195
312,3.10816,15.7787,-0.841842
315,1.47806,15.719,-0.632535
316,3.94805,15.8286,-0.561484
319,2.27795,15.7488,-0.362195
320,0.0466696,3.6592,-1.77334
321,1.5279,15.7189,-0.262514
322,3.158,15.7787,-0.461821
323,0.337027,6.06915,-1.73318
324,1.59772,9.75896,-2.00258
325,2.32779,15.7488,0.00782633
326,4.00788,15.8186,-0.171459
327,1.67813,12.5089,-1.9725
328,3.08862,15.5187,-2.02185
329,1.53777,15.8189,0.0874919
330,3.17785,15.8587,-0.0818108
331,2.29849,15.5288,-1.70219
332,3.94843,15.6386,-1.52149
333,2.33764,15.7488,0.367831
334,3.99773,15.8086,0.188537
335,2.30824,15.6188,-1.10218
336,3.11834,15.6287,-1.31184
337,1.5376,15.7489,0.457491
338,3.16769,15.7987,0.278184
339,1.53822,15.719,-1.01251
340,4.00821,15.8286,-0.951459
342,3.15752,15.7687,0.658179
343,2.32811,15.7388,-0.742174
344,3.15817,15.8187,-0.84182
347,1.53807,15.7289,-0.64251
348,4.01806,15.8586,-0.571454
351,2.33795,15.7488,-0.362169
352,0.0566622,3.6392,-1.76334
353,1.5879,15.6989,-0.262489
354,3.228,15.7887,-0.461791
355,0.377036,6.09915,-1.74316
356,1.64771,9.74895,-2.00256
357,2.39779,15.7388,0.0078559
358,4.06788,15.8085,-0.181434
359,1.71813,12.5189,-1.97249
360,3.14862,15.4987,-2.02183
361,1.61777,15.8489,0.0875264
362,3.24785,15.8787,-0.0817807
363,2.34849,15.5288,-1.70217
364,4.01843,15.6586,-1.52146
365,2.39764,15.7588,0.367856
366,4.05772,15.7885,0.188562
367,2.36825,15.6288,-1.10216
368,3.17834,15.6287,-1.31181
369,1.5976,15.7389,0.467516
370,3.22768,15.7887,0.278209
371,1.59822,15.7089,-1.01248
372,4.06821,15.8186,-0.951433
374,3.21752,15.7687,0.658205
375,2.39811,15.7388,-0.742144
376,3.22816,15.7887,-0.841791
379,1.59807,15.7289,-0.642484
380,4.06805,15.8186,-0.571433
383,2.39795,15.7488,-0.362144
384,0.0677786,3.59961,-1.74332
385,1.64899,15.6993,-0.262161
386,3.29909,15.7991,-0.461476
387,0.408154,6.08956,-1.74308
388,1.68881,9.74937,-2.00239
389,2.46889,15.7492,0.00817919
390,4.13898,15.8389,-0.181128
391,1.77921,12.5194,-1.96224
392,3.21969,15.5191,-2.02152
393,1.67887,15.8293,0.0878565
394,3.31894,15.869,-0.081465
395,2.41956,15.5393,-1.70185
396,4.08951,15.659,-1.52116
397,2.46874,15.7592,0.36818
398,4.14883,15.8289,0.188876
399,2.42933,15.6292,-1.11184
400,3.24942,15.6391,-1.3115
401,1.6587,15.7393,0.457844
402,3.29879,15.809,0.278524
403,1.65931,15.7193,-1.01216
404,4.1393,15.819,-0.951129
406,3.28863,15.779,0.658519
407,2.4692,15.7692,-0.74182
411,1.65915,15.7193,-0.642156
412,4.14914,15.8289,-0.571124
415,2.46904,15.7492,-0.361821
416,0.0777801,3.60961,-1.74332
417,1.719,15.7293,-0.262131
419,0.428153,6.07955,-1.74307
420,1.72881,9.74937,-2.00238
421,2.52889,15.7592,0.00820437
422,4.20898,15.8389,-0.181099
423,1.81922,12.5094,-1.97222
424,3.2797,15.5291,-2.0315
425,1.73887,15.8493,0.0878821
427,2.47956,15.5392,-1.70183
428,4.1495,15.659,-1.51113
429,2.51874,15.7591,0.3682
430,4.19883,15.8189,0.188896
431,2.49933,15.6292,-1.11181
432,3.30942,15.6391,-1.31148
433,1.7187,15.7193,0.457868
435,1.71931,15.7193,-1.01213
436,4.2093,15.8389,-0.961099
