-192.19,742.927,-13.5959
0.976629,-0.210009,-0.045749
0.210116,0.977673,-0.00252195
0.0452572,-0.00714958,0.99895
0,-0.316917,3.71976,-1.75605
2,1.55537,15.7281,-0.419895
3,-0.237769,6.23976,-1.74147
4,0.661746,10.0105,-1.99236
5,0.784014,15.817,0.0380336
6,2.36454,15.7779,-0.137471
7,0.460758,12.7704,-1.95817
8,1.52987,15.4907,-1.95039
9,0.0038322,15.6766,0.115539
10,1.57426,15.8374,-0.0496497
11,0.758973,15.4899,-1.64261
12,2.33838,15.6101,-1.44784
13,0.783039,15.7064,0.387842
14,2.36353,15.7673,0.21251
15,0.777259,15.6089,-1.06235
16,1.53781,15.5995,-1.25017
17,0.00279264,15.676,0.475537
18,1.56328,15.7468,0.300164
19,0.00695088,15.6785,-0.964455
20,2.36674,15.7692,-0.897484
22,1.55223,15.7062,0.670064
23,0.786158,15.7083,-0.692152
24,1.56642,15.7687,-0.789795
28,2.36564,15.7785,-0.517469
31,0.785086,15.7177,-0.322137
32,-0.306891,3.72978,-1.766
33,0.0548492,15.6573,-0.234349
34,1.60537,15.7381,-0.419734
35,-0.217766,6.22977,-1.74143
36,0.701717,10.0105,-1.98224
37,0.84402,15.7971,0.0381724
38,2.42454,15.7679,-0.137315
39,0.510758,12.7704,-1.95803
40,1.57987,15.4907,-1.95024
41,0.0538353,15.6667,0.115666
42,1.63426,15.8575,-0.0494419
43,0.818973,15.4899,-1.64244
44,2.38838,15.6201,-1.44768
45,0.833039,15.7064,0.387986
46,2.41354,15.7473,0.21262
47,0.827256,15.619,-1.06219
48,1.59781,15.5995,-1.25
50,1.62327,15.7869,0.300406
51,0.0669539,15.6685,-0.964299
52,2.42673,15.7892,-0.897276
54,1.60219,15.7262,0.680243
55,0.836158,15.7083,-0.692008
56,1.62642,15.7787,-0.789605
59,0.0559144,15.6679,-0.60433
60,2.42563,15.7885,-0.517278
63,0.835086,15.7177,-0.321993
64,-0.296914,3.70976,-1.75601
65,0.114842,15.6773,-0.234142
66,1.67536,15.7381,-0.419531
67,-0.197747,6.25979,-1.75132
68,0.741746,10.0105,-1.99213
69,0.904023,15.7871,0.0383284
70,2.48454,15.7779,-0.137124
71,0.550758,12.7704,-1.95791
72,1.63986,15.4907,-1.95007
73,0.123789,15.8067,0.11611
74,1.69423,15.8375,-0.0393031
75,0.86897,15.5,-1.64228
76,2.44838,15.6201,-1.44751
