-156.489,751.847,-12.5651
195,-3.89741,5.45289,-1.73882
196,-5.27412,8.92472,-1.97102
197,-9.64021,15.7377,0.039347
198,-7.71083,15.7357,-0.166492
199,-6.97164,10.9566,-1.92375
200,-7.61847,13.6474,-1.89897
201,-10.65,15.6887,0.13235
202,-8.67047,15.7767,-0.0635456
203,-9.42636,15.3394,-1.84173
204,-7.66517,15.587,-1.54679
205,-9.56914,15.6172,0.439008
206,-7.68972,15.6952,0.213404
207,-9.53415,15.5488,-1.19118
208,-8.57468,15.5679,-1.37406
209,-10.5888,15.5882,0.562062
210,-8.6294,15.6862,0.326237
211,-10.544,15.4999,-1.12817
212,-7.67333,15.6364,-0.956713
214,-8.64811,15.7258,0.736337
215,-9.6128,15.6685,-0.790813
216,-8.66301,15.7275,-0.883624
219,-10.6226,15.6396,-0.707789
220,-7.71204,15.7361,-0.56649
221,-12.1263,20.1941,6.25157
222,-12.5267,23.556,4.8463
223,-9.60154,15.6581,-0.370856
224,-2.49985,3.37129,-1.75523
225,-10.5213,15.599,-0.278135
226,-8.57181,15.697,-0.47393
227,-3.87738,5.47286,-1.73886
228,-5.25411,8.9347,-1.97107
229,-9.57021,15.7376,0.0391352
230,-7.66081,15.7456,-0.166632
231,-6.9316,10.9666,-1.91386
232,-7.57845,13.6673,-1.89907
233,-10.58,15.6887,0.132138
234,-8.62045,15.7966,-0.063676
235,-9.36635,15.3493,-1.8419
236,-7.58517,15.587,-1.54703
237,-9.51912,15.6371,0.438877
238,-7.62975,15.6752,0.213202
239,-9.46416,15.5388,-1.1914
240,-8.50469,15.5578,-1.37428
241,-10.5188,15.5981,0.561861
242,-8.54942,15.6661,0.325974
243,-10.474,15.5099,-1.12838
244,-7.61334,15.6264,-0.956905
246,-8.58809,15.7457,0.736177
247,-9.54278,15.6884,-0.791004
248,-8.58301,15.7274,-0.883866
251,-10.5326,15.6095,-0.708092
252,-7.64204,15.706,-0.556733
253,-12.0762,20.264,6.2615
254,-12.4666,23.6159,4.85619
255,-9.53153,15.668,-0.371057
256,-2.48983,3.38128,-1.75525
257,-10.4613,15.629,-0.278285
258,-8.51177,15.7269,-0.47408
259,-3.85737,5.48284,-1.73891
260,-5.21408,8.95465,-1.97117
261,-9.5002,15.7475,0.0389338
262,-7.5808,15.7355,-0.156885
263,-6.88158,10.9865,-1.91399
