-138.456,756.764,-12.0797
0.970743,-0.238524,-0.0276399
0.239466,0.970154,0.0381652
0.0177116,-0.0436675,0.998889
0,0.836145,3.55277,-1.80804
1,4.31158,15.9587,-0.300228
2,6.12193,16.0361,-0.508162
3,1.48931,5.8819,-1.75845
4,3.06354,8.79964,-1.91809
5,5.22137,16.0476,-0.00921463
6,7.07158,16.0349,-0.207057
7,3.41669,11.1292,-1.84885
8,5.00989,13.427,-1.85815
9,4.35133,16.0889,0.069753
10,6.15155,16.0963,-0.108157
11,5.06283,15.6069,-1.78918
12,6.99302,15.8743,-1.63707
13,5.18079,15.9479,0.370789
14,7.06109,16.0052,0.182946
15,5.15245,15.8471,-1.1792
16,6.05272,15.8558,-1.39815
17,4.30064,15.9191,0.45978
18,6.11097,16.0065,0.281841
19,4.28234,15.8584,-1.07021
20,7.04246,15.9746,-1.03706
21,5.16002,15.8882,0.960795
22,6.13055,16.0467,0.691844
23,5.21226,16.0272,-0.799216
24,6.10233,15.9759,-0.918155
27,4.31207,15.9885,-0.690243
28,7.0821,16.0547,-0.627055
31,5.19174,15.9875,-0.399219
32,0.846157,3.55275,-1.81803
33,4.36157,15.9487,-0.300165
34,6.18193,16.036,-0.508092
35,1.5093,5.87187,-1.75842
36,3.08353,8.78961,-1.91806
37,5.29139,16.0675,-0.00914319
38,7.14158,16.0349,-0.206975
39,3.45666,11.1091,-1.84879
40,5.05986,13.4069,-1.85808
41,4.40127,16.0488,0.0698312
42,6.21155,16.0962,-0.108088
43,5.11281,15.5969,-1.78912
44,7.06303,15.8742,-1.64699
45,5.24081,15.9678,0.370848
46,7.1111,16.0151,0.182999
47,5.20245,15.8471,-1.17914
48,6.11274,15.8657,-1.40809
49,17.3762,57.0817,1.71432
50,6.181,16.0264,0.281912
51,4.33234,15.8583,-1.07015
52,7.11248,15.9845,-1.03698
53,5.22002,15.8881,0.960865
54,6.20059,16.0766,0.69191
55,5.27223,16.0071,-0.799136
56,6.15231,15.9659,-0.918092
59,4.3921,16.0084,-0.69016
60,7.16215,16.0946,-0.626982
63,5.26174,15.9874,-0.399138
64,0.866157,3.55273,-1.81801
65,4.42154,15.9286,-0.300085
66,6.26193,16.0359,-0.507999
67,1.52929,5.86184,-1.7584
68,3.12349,8.76956,-1.908
69,5.35138,16.0574,-0.00906837
70,7.21157,16.0248,-0.206889
71,3.49665,11.0991,-1.84874
72,5.11985,13.3968,-1.858
73,4.47129,16.0587,0.0699077
74,6.27149,16.0561,-0.107998
75,5.17277,15.5668,-1.78903
76,7.13303,15.8741,-1.64691
77,5.31079,15.9477,0.37094
78,7.20111,16.025,0.183099
79,5.27245,15.847,-1.17906
80,6.18274,15.8656,-1.40801
81,4.42064,15.919,0.459919
82,6.24096,15.9963,0.281997
83,4.40234,15.8582,-1.07007
84,7.18246,15.9744,-1.0369
85,5.28,15.888,0.970934
86,6.27059,16.0765,0.691992
87,5.34226,16.027,-0.799064
88,6.23233,15.9758,-0.918004
91,4.45209,15.9983,-0.690085
92,7.23214,16.0845,-0.626895
95,5.33176,16.0073,-0.399066
96,0.876143,3.54271,-1.81799
97,4.49155,15.9385,-0.300009
98,6.3119,16.0158,-0.507931
99,1.53923,5.83183,-1.74837
100,3.15349,8.75951,-1.91796
101,5.42139,16.0673,-0.00899193
102,7.29161,16.0546,-0.206811
103,3.53664,11.089,-1.84869
104,5.15982,13.3768,-1.85795
105,4.52123,16.0186,0.0699859
106,6.34152,16.076,-0.107926
107,5.22274,15.5467,-1.78896
108,7.20303,15.874,-1.64682
109,5.36079,15.9476,0.370998
110,7.28114,16.0449,0.183182
111,5.34245,15.8469,-1.17897
112,6.25276,15.8755,-1.40793
113,4.49065,15.9289,0.459996
114,6.31097,16.0062,0.282073
115,4.47235,15.8581,-1.07999
116,7.24247,15.9743,-1.04683
117,5.35,15.8879,0.971016
118,6.33055,16.0464,0.692076
119,5.40227,16.027,-0.808995
120,6.29231,15.9657,-0.917929
123,4.51207,15.9883,-0.69001
124,7.2921,16.0544,-0.626811
127,5.38171,15.9672,-0.398988
128,0.886129,3.5327,-1.81797
129,4.55158,15.9584,-0.299949
130,6.37188,15.9958,-0.507851
132,3.17345,8.73949,-1.90793
133,5.47138,16.0573,-0.00892875
134,7.36162,16.0645,-0.206735
135,3.57661,11.069,-1.84863
136,5.20978,13.3467,-1.85787
137,4.59127,16.0485,0.0700523
138,6.41154,16.0859,-0.10785
139,5.27269,15.5066,-1.78888
140,7.27306,15.8839,-1.65675
141,5.4408,15.9575,0.371086
142,7.35114,16.0448,0.183264
143,5.40247,15.8568,-1.18891
144,6.31276,15.8754,-1.40786
145,4.56068,15.9588,0.470062
146,6.38099,16.0161,0.28215
147,4.53235,15.858,-1.07992
148,7.32247,15.9742,-1.04674
149,5.41002,15.8978,0.971081
150,6.40061,16.0863,0.692138
151,16.805,45.6105,-2.27059
152,6.36231,15.9656,-0.917847
155,4.56209,15.9982,-0.689957
156,7.38215,16.0943,-0.626726
159,5.46179,16.0171,-0.40892
161,4.62159,15.9683,-0.299872
162,6.45194,16.0357,-0.517778
163,1.55912,5.76181,-1.73831
164,3.21344,8.72943,-1.90788
165,5.55139,16.0672,-0.00884067
166,7.42161,16.0545,-0.20666
167,3.60659,11.0589,-1.84859
168,5.25975,13.3266,-1.85781
169,4.64123,16.0185,0.0701255
170,6.47154,16.0858,-0.10778
171,5.32265,15.4766,-1.78881
172,7.34306,15.8838,-1.65667
173,5.51081,15.9674,0.371163
174,7.43116,16.0546,0.183352
175,5.47249,15.8567,-1.19883
176,6.39277,15.8753,-1.41777
177,4.62067,15.9487,0.470137
178,6.44096,15.9961,0.28223
179,4.59235,15.8579,-1.07985
180,7.39249,15.9841,-1.04666
181,5.48,15.8877,0.971167
182,6.46059,16.0762,0.692213
183,5.52224,16.0068,-0.808845
