-198.707,741.279,-13.8521
0.97593,-0.211521,-0.0531037
0.211595,0.977348,-0.00427272
0.0528045,-0.00706661,0.99858
0,0.106505,3.56932,-1.74137
1,1.89378,15.6995,-0.2596
2,3.53365,15.77,-0.450493
3,0.475805,5.99942,-1.72103
4,1.77465,9.49986,-1.96095
5,2.71389,15.8097,0.0099703
6,4.39379,15.8002,-0.180964
7,1.88389,12.1599,-1.9204
8,3.36298,15.1503,-1.98054
9,1.91393,15.8394,0.0904208
10,3.55383,15.8499,-0.0804864
11,2.64303,15.5101,-1.70006
12,4.33309,15.6305,-1.53097
13,2.70411,15.7396,0.36996
14,4.394,15.8001,0.189036
15,2.67334,15.5899,-1.11006
16,3.48322,15.6102,-1.3105
17,1.89417,15.7193,0.460404
18,3.54405,15.7899,0.279505
19,1.90334,15.7797,-0.999587
20,7.57025,25.3215,-1.54055
22,3.57423,15.8998,0.669514
23,2.7035,15.7198,-0.740045
24,3.53343,15.7801,-0.850491
27,1.89357,15.6896,-0.629602
28,4.39357,15.8203,-0.570959
31,2.7137,15.7698,-0.360039
32,0.126502,3.57932,-1.74138
33,1.94377,15.7095,-0.259625
34,3.58365,15.76,-0.460523
35,0.495808,5.98943,-1.72104
36,1.80465,9.48986,-1.96097
37,2.77388,15.8397,0.00994387
38,4.4338,15.7802,-0.18099
39,1.92389,12.1499,-1.92043
40,3.40299,15.1403,-1.98056
41,1.96394,15.8094,0.0903862
42,3.61382,15.89,-0.0805105
43,2.70302,15.5201,-1.71009
44,4.39309,15.6405,-1.531
45,2.75412,15.7296,0.36993
46,4.444,15.7901,0.189006
47,2.71333,15.5999,-1.11008
48,3.54322,15.6102,-1.31054
49,1.95417,15.7294,0.460373
50,3.58405,15.7899,0.279483
51,1.96333,15.7897,-1.01962
52,7.66025,25.3115,-1.54061
54,3.62424,15.8898,0.669484
55,2.7535,15.7199,-0.740072
56,3.58343,15.7801,-0.850519
59,1.94357,15.6996,-0.639628
60,24.9046,76.3668,-2.78853
63,2.75371,15.7398,-0.360068
64,0.136505,3.56933,-1.74139
65,2.00377,15.7095,-0.259659
66,3.66364,15.7901,-0.460561
67,0.505811,5.97943,-1.72105
68,1.84465,9.48988,-1.96099
69,2.83389,15.8297,0.00990831
70,4.50379,15.8102,-0.181022
71,1.9739,12.1399,-1.92046
72,3.46298,15.1304,-1.9906
73,2.03393,15.8195,0.0903496
74,3.67383,15.87,-0.0805484
75,2.76303,15.5101,-1.71013
76,4.46309,15.6405,-1.53104
77,2.81412,15.7296,0.369897
78,4.50399,15.8102,0.188978
79,2.78333,15.6,-1.11012
80,3.60322,15.6102,-1.31057
81,2.01416,15.7594,0.460347
82,3.65405,15.7799,0.279442
83,2.02333,15.7797,-1.01965
84,7.76026,25.2915,-1.54067
86,3.69424,15.8898,0.669445
87,2.8135,15.7199,-0.740106
91,2.00357,15.6996,-0.639661
92,25.1547,76.1369,-2.78872
95,2.82371,15.7398,-0.360107
96,0.136505,3.56933,-1.74139
97,2.06376,15.7196,-0.26969
99,0.535814,5.96944,-1.72107
100,1.87465,9.48988,-1.96101
101,2.90389,15.8297,0.0098695
102,4.57379,15.7903,-0.181066
103,2.01389,12.1599,-1.93047
104,3.52299,15.1204,-1.99064
105,2.08393,15.8295,0.0903242
107,2.82303,15.5001,-1.71016
108,4.51309,15.6306,-1.53107
109,2.87411,15.7496,0.369868
110,4.574,15.8102,0.198939
111,2.84333,15.6,-1.11015
112,3.66321,15.6103,-1.3206
113,2.07417,15.7294,0.460307
115,2.07333,15.7797,-1.01968
116,7.85026,25.2815,-1.55072
119,2.8735,15.7199,-0.740139
120,3.71343,15.7802,-0.850591
123,2.07355,15.7396,-0.639691
124,4.58357,15.8204,-0.571064
127,2.8837,15.7598,-0.360135
128,0.166502,3.57933,-1.74141
129,2.12378,15.6996,-0.259728
131,0.565797,6.00945,-1.73107
132,1.90466,9.46989,-1.96103
133,2.95389,15.8298,0.00984177
134,4.64379,15.8103,-0.1811
135,2.06389,12.1499,-1.9305
136,3.58299,15.1204,-1.99067
137,2.15393,15.8495,0.0902899
139,2.88303,15.5101,-1.71019
140,4.58308,15.6406,-1.54111
141,2.93411,15.7497,0.369835
142,4.634,15.7902,0.188901
143,2.90333,15.61,-1.11018
144,3.73321,15.6203,-1.32064
145,2.12416,15.7394,0.460281
146,3.77405,15.7799,0.279376
147,2.13333,15.7797,-1.01971
148,7.95026,25.2716,-1.55078
150,3.78427,15.7898,0.669372
151,2.9335,15.7199,-0.740172
155,2.12356,15.7297,-0.639721
156,4.63357,15.8004,-0.571097
159,2.93371,15.7298,-0.36017
160,0.186485,3.59934,-1.76141
161,2.17376,15.7196,-0.269751
162,3.82363,15.8101,-0.470645
164,1.94465,9.47991,-1.96105
165,3.00389,15.8298,0.00981404
166,4.69379,15.8003,-0.18113
