-447.24,649.574,-26.0938
0.925559,-0.378452,-0.0107242
0.378185,0.925497,-0.0207882
0.0177926,0.015185,0.999726
0,-2.0289,4.15469,-1.98698
2,-12.8957,48.6545,-1.36307
3,-3.05876,6.84474,-1.98184
4,-3.5388,10.3349,-2.09671
5,-16.043,50.6329,0.0949635
6,-5.08493,21.0327,-0.210838
7,-5.09881,13.7151,-2.18979
8,-5.16863,16.9351,-2.17572
9,-34.5397,95.583,0.753007
10,-12.9836,49.0031,-0.202482
11,-6.36822,17.9649,-1.97232
12,-4.70782,19.1346,-1.78384
13,-30.4562,99.2206,2.5702
14,-28.0755,140.201,1.87621
15,-7.93739,23.3146,-1.65297
16,-6.40773,22.0147,-1.80728
17,-30.7766,84.8404,2.76314
18,-12.9815,48.9817,0.957491
19,-8.82711,22.2344,-1.46271
20,-5.13673,21.3639,-1.23034
21,-30.8596,100.586,6.2826
22,-12.9894,49.0302,2.12757
23,-8.91649,26.6341,-1.23715
24,-9.65714,35.3349,-1.83517
26,-12.9558,48.9377,4.1874
27,-11.8563,30.9043,-1.26668
28,-5.14582,21.3733,-0.720313
29,-10.2185,31.032,8.74058
31,-15.6652,49.3543,-1.09728
32,-2.0189,4.14469,-1.98701
34,-12.7457,48.7445,-1.37323
35,-3.02876,6.86474,-1.98187
36,-3.51882,10.3549,-2.10672
37,-16.1029,51.4929,0.0961247
38,-5.0949,21.5627,-0.21017
39,-5.0388,13.7351,-2.18987
40,-5.09863,16.9351,-2.17584
41,-34.1997,95.663,0.7525
42,-13.0335,49.9731,-0.201204
43,-6.29821,18.0049,-1.97239
45,-30.5661,100.851,2.6124
46,-27.5655,140.201,1.8753
47,-7.98742,23.7846,-1.6823
48,-5.61743,19.1044,-1.56226
49,-30.5466,85.1604,2.77312
50,-32.8846,132.481,2.58531
51,-8.72711,22.2144,-1.46291
52,-5.17675,21.924,-1.25958
53,-32.2986,106.806,6.66279
54,-34.738,140.217,6.0981
55,-8.77648,26.4841,-1.22758
56,-9.66718,35.935,-1.87441
59,-14.1765,37.9348,-1.55393
60,-5.15581,21.8333,-0.729731
61,-10.1584,31.2119,8.7807
63,-15.4452,49.2443,-1.09781
64,-1.9989,4.14469,-1.98704
65,-18.6146,51.2642,-0.839687
66,-12.4457,48.1545,-1.35448
67,-3.00876,6.87474,-1.9819
68,-3.46882,10.3649,-2.1068
69,-15.8329,51.2029,0.0952885
70,-5.12489,22.0627,-0.219504
71,-4.9988,13.7551,-2.18992
72,-5.04862,16.9851,-2.17587
73,-36.2892,102.773,0.814937
74,-12.8635,49.9831,-0.201494
75,-6.23821,18.0249,-1.97248
76,-4.74793,20.0947,-1.87259
77,-32.1455,107.59,2.78347
78,-27.0855,140.211,1.87446
79,-7.92743,23.8646,-1.69231
81,-33.4456,94.5301,3.07977
