-398.015,671.77,-25.0014
0.920268,-0.390499,-0.0248483
0.389428,0.920229,-0.0390516
0.0381157,0.0262613,0.998928
0,-0.199437,4.21523,-2.00765
3,0.0534763,7.33498,-2.06872
4,1.12675,10.8839,-2.21033
7,1.15038,14.7839,-2.32152
8,2.80469,19.4622,-2.52375
11,2.34804,23.0027,-2.5046
16,5.40703,32.6397,-2.72903
19,3.01551,41.612,-2.69056
20,6.34469,29.6691,-1.7886
23,5.47837,44.3299,-2.0926
24,6.23137,36.8492,-1.98071
27,5.6309,68.5895,-2.82001
28,21.6621,91.3343,-3.31484
32,-0.179437,4.21521,-2.00766
35,0.0834763,7.33495,-2.06874
36,1.16675,10.8839,-2.21035
39,1.20037,14.7738,-2.32154
40,2.87467,19.4422,-2.52378
43,2.42803,22.9926,-2.51463
44,5.7416,26.8095,-2.58743
48,5.53703,32.6496,-2.7291
51,3.16555,41.6519,-2.68064
52,6.45466,29.639,-1.78864
56,6.37137,36.8491,-1.98078
60,22.544,93.4134,-3.39591
63,5.85016,45.6998,-1.0832
64,-0.169446,4.2052,-2.00766
67,0.103471,7.33493,-2.07875
68,1.19674,10.8639,-2.21036
71,1.25036,14.7638,-2.32156
75,2.51802,22.9825,-2.51468
76,5.82153,26.7394,-2.58745
79,4.8623,38.2203,-2.71045
80,5.64701,32.6195,-2.72914
83,3.31559,41.7017,-2.70073
84,6.50446,29.419,-1.7786
87,5.78833,44.2896,-2.09274
92,23.125,94.4628,-3.43652
95,6.00014,45.6697,-1.08326
96,-0.169456,4.1952,-2.00766
99,0.133467,7.3249,-2.06876
100,1.23674,10.8638,-2.21038
103,1.30035,14.7537,-2.32158
104,3.03468,19.452,-2.52386
107,2.58802,22.9825,-2.51471
108,5.94159,26.7993,-2.58753
111,5.01237,38.3001,-2.72055
112,5.77705,32.6694,-2.72922
115,3.47564,41.7616,-2.70083
119,5.28442,40.0401,-1.90121
127,6.17013,45.6595,-1.08334
128,-0.139446,4.20517,-2.00768
131,0.163457,7.31487,-2.06877
132,1.27672,10.8438,-2.21039
134,5.47071,24.6604,-0.286648
135,1.36034,14.7437,-2.32161
136,3.09467,19.432,-2.52389
139,2.67801,22.9724,-2.51475
