-332.699,701.354,-21.8583
0.936945,-0.346117,-0.0483457
0.344638,0.938029,-0.0364263
0.0579575,0.0174676,0.998166
0,0.321094,4.01013,-1.96042
1,19.6631,102.947,-1.85778
2,27.5855,93.7681,-2.87845
3,0.757495,6.60076,-1.91112
4,1.85409,9.04229,-1.902
5,23.8001,98.3534,-0.0281719
6,31.2516,89.8136,-1.13883
7,1.98073,11.4625,-1.84255
8,3.31738,13.8643,-1.8535
9,19.6639,102.948,0.572222
10,27.636,93.9486,-0.598507
11,3.14429,16.0941,-1.79392
12,5.49185,17.8474,-1.77506
14,31.1726,89.6239,1.06124
15,21.5107,89.2288,-6.44548
16,5.03952,19.5368,-1.67527
18,27.5871,93.7591,1.67155
19,18.0727,94.9941,-6.22557
20,31.1206,89.4925,-5.54871
23,23.6892,97.8923,-4.72804
24,27.5151,93.5375,-5.14838
27,19.5827,102.607,-4.28768
28,31.1712,89.613,-3.34876
31,23.7297,98.0728,-2.37809
32,0.341108,4.00016,-1.96043
33,19.9636,102.568,-1.8478
34,27.866,93.4685,-2.86848
35,0.777523,6.58078,-1.91112
36,1.88411,9.03233,-1.89201
37,24.1005,98.0138,-0.0281993
38,31.512,89.5239,-1.12885
39,2.02075,11.4525,-1.84256
40,3.36741,13.8444,-1.84351
41,19.9744,102.588,0.562195
42,27.9264,93.659,-0.588541
43,3.2043,16.0842,-1.78394
44,5.56188,17.8275,-1.77508
46,31.453,89.3543,1.06121
47,21.8209,89.1093,-6.44556
48,5.12947,19.5769,-1.67531
50,27.8575,93.4594,1.66152
51,18.4328,94.9546,-6.22568
52,31.391,89.2028,-5.53874
55,23.9796,97.5527,-4.71806
56,27.8055,93.2679,-5.13842
59,19.9132,102.247,-4.27771
60,31.4316,89.3234,-3.33878
63,24.0301,97.7532,-2.36812
64,0.351108,4.00018,-1.96043
65,20.2541,102.208,-1.84782
66,28.1164,93.1588,-2.8685
67,0.807523,6.58083,-1.91113
68,1.90412,9.02236,-1.89201
69,24.351,97.6942,-0.0282143
70,31.7624,89.2843,-1.12888
71,2.06076,11.4426,-1.84257
72,3.40742,13.8345,-1.85353
73,20.2449,102.189,0.562191
74,28.1868,93.3794,-0.588568
75,3.26433,16.0643,-1.79395
76,5.63183,17.8576,-1.77511
78,31.6934,89.1046,1.06118
79,22.1409,89.0897,-6.44566
80,5.37867,20.1373,-1.72551
82,28.1179,93.1598,1.6615
83,18.7428,94.895,-6.22577
84,31.6314,88.9232,-5.52876
87,24.25,97.263,-4.70809
88,28.0559,92.9683,-5.12844
91,20.2037,101.927,-4.26774
92,31.672,89.0437,-3.3388
95,24.2806,97.4336,-2.36814
96,0.361122,3.99019,-1.96043
97,20.5546,101.849,-1.83784
98,28.3768,92.8692,-2.85852
99,0.827523,6.58085,-1.91114
100,1.94412,9.02242,-1.90202
101,24.6414,97.3746,-0.0282426
102,32.0128,88.9846,-1.1289
103,2.10078,11.4327,-1.84259
104,3.46743,13.8246,-1.85354
105,20.5654,101.869,0.562152
106,28.4373,93.0598,-0.588583
107,3.32436,16.0444,-1.79397
108,5.69192,17.7977,-1.77512
110,31.9537,88.835,1.06115
111,22.4708,89.1102,-6.45577
112,5.35904,19.8772,-1.70545
114,28.3783,92.8602,1.66148
115,19.0829,94.8755,-6.22588
116,31.8818,88.6535,-5.51879
119,24.5205,96.9134,-4.68811
120,28.3063,92.6786,-5.11846
123,20.4942,101.578,-4.25776
124,31.9223,88.794,-3.32883
127,24.5511,97.064,-2.35815
128,0.381108,4.00022,-1.96044
129,20.8651,101.479,-1.83786
130,28.6572,92.5596,-2.84855
131,0.847537,6.57088,-1.91114
132,1.98415,9.00247,-1.89203
133,24.9419,97.055,-0.0282742
134,32.2831,88.755,-1.12894
135,2.15076,11.4427,-1.8426
136,3.50745,13.8146,-1.85355
137,20.8659,101.479,0.562136
138,28.7277,92.7702,-0.588618
139,3.38438,16.0245,-1.79398
140,5.76193,17.7878,-1.77514
142,32.2141,88.5554,1.07112
143,22.8208,89.1107,-6.46589
146,28.6587,92.5505,1.65145
147,19.433,94.806,-6.22598
148,32.1622,88.3939,-5.50883
151,24.821,96.6038,-4.67814
152,28.5967,92.389,-5.10849
155,20.8047,101.178,-4.23778
156,32.1927,88.5144,-3.32886
159,24.8515,96.7744,-2.35819
160,0.391122,3.99023,-1.96044
161,21.1456,101.139,-1.82788
162,28.9176,92.31,-2.84858
163,0.877537,6.57092,-1.91115
164,2.01416,8.99252,-1.89204
165,25.2023,96.7454,-0.0282947
166,32.5235,88.4753,-1.12896
167,2.18082,11.4028,-1.84261
168,3.55748,13.7947,-1.85357
169,21.1564,101.16,0.562107
170,28.9681,92.4705,-0.588634
171,3.43438,16.0245,-1.794
172,5.82193,17.7879,-1.77516
174,32.4545,88.2757,1.0511
175,23.111,88.9911,-6.45596
178,28.8991,92.2709,1.65143
179,19.763,94.8065,-6.23609
180,32.3826,88.0942,-5.49884
183,25.0814,96.3242,-4.66817
184,28.8471,92.1094,-5.09852
187,21.0652,100.819,-4.22779
188,32.453,88.2848,-3.3189
191,25.122,96.4548,-2.34821
192,0.411122,3.99026,-1.96045
193,21.4361,100.8,-1.82791
194,29.178,92.0103,-2.83861
195,0.897551,6.56095,-1.91116
196,2.04418,8.98256,-1.89205
197,25.4828,96.4358,-0.0283218
198,32.7739,88.1957,-1.11899
199,2.21082,11.4028,-1.84262
200,3.6075,13.7748,-1.85358
201,21.4369,100.77,0.562097
202,29.2285,92.1809,-0.588658
203,3.48441,16.0046,-1.79401
204,5.89196,17.768,-1.78518
206,32.6949,88.006,1.05108
207,23.4311,88.9415,-6.46606
208,5.51938,19.6375,-1.69545
210,29.1595,91.9712,1.64141
211,20.0831,94.7369,-6.23618
212,32.6329,87.8446,-5.48887
215,25.3519,95.9746,-4.65818
216,29.1076,91.7997,-5.08854
219,21.3757,100.499,-4.21783
220,32.6935,87.9951,-3.31892
223,25.3924,96.1251,-2.34823
224,0.42115,3.97027,-1.96045
225,21.7166,100.45,-1.81793
226,29.4184,91.7307,-2.83863
227,0.907565,6.55097,-1.91116
228,2.07418,8.9826,-1.90206
229,25.7432,96.1361,-0.0283443
230,33.0142,87.946,-1.11901
231,2.26083,11.3929,-1.84263
232,3.64753,13.7548,-1.85359
233,21.7074,100.431,0.55208
234,29.4689,91.9012,-0.588679
235,3.54444,15.9847,-1.79403
236,5.952,17.738,-1.77519
238,32.9352,87.7464,1.05106
239,23.7312,88.8819,-6.46614
240,5.59938,19.6376,-1.68548
242,29.4099,91.7116,1.64138
243,20.4132,94.6574,-6.23627
244,32.8733,87.5849,-5.47889
247,25.6223,95.695,-4.64821
248,29.3679,91.5701,-5.07858
251,21.6462,100.16,-4.20784
252,32.9338,87.7555,-3.30895
255,25.6528,95.8455,-2.33825
256,0.441136,3.9803,-1.96046
257,22.007,100.121,-1.81795
258,29.6887,91.481,-2.82866
259,0.937579,6.54101,-1.91116
260,2.10421,8.96264,-1.89206
261,26.0136,95.8265,-0.0283681
262,33.2746,87.7164,-1.11905
263,2.30083,11.3929,-1.84264
264,3.69753,13.7549,-1.8536
265,21.9879,100.071,0.552063
266,29.7393,91.6216,-0.588709
267,3.59445,15.9747,-1.79404
268,6.01202,17.7181,-1.78521
270,33.1856,87.4967,1.05103
271,24.0313,88.7624,-6.46622
272,5.69925,19.7277,-1.70553
274,29.6603,91.4219,1.64136
275,20.7531,94.6778,-6.23639
276,33.1237,87.3353,-5.47892
279,25.9027,95.4154,-4.63824
280,29.6183,91.3005,-5.0686
283,21.9366,99.8299,-4.19787
284,33.1742,87.4458,-3.29896
287,25.9233,95.5259,-2.33827
288,0.45115,3.97032,-1.96046
289,22.2975,99.7809,-1.80798
290,29.9292,91.1314,-2.82867
291,0.967593,6.53105,-1.91117
292,2.13423,8.94268,-1.89207
293,26.284,95.5169,-0.0283919
294,33.515,87.4267,-1.11907
295,2.33084,11.383,-1.84265
296,3.75755,13.745,-1.85362
297,22.2784,99.7214,0.552041
298,30.0097,91.362,-0.588743
299,3.64447,15.9648,-1.79406
300,6.07204,17.7082,-1.77523
302,33.426,87.2271,1.051
303,24.3514,88.7228,-6.46631
304,5.75929,19.6978,-1.70555
306,29.9407,91.1623,1.64132
307,21.0932,94.6083,-6.23648
308,33.3641,87.0556,-5.46894
311,26.1631,95.0757,-4.62826
312,29.8887,91.0108,-5.05863
315,22.2271,99.4803,-4.18789
316,33.4246,87.2061,-3.29899
