-352.101,693.146,-22.9966
0.926955,-0.372907,-0.0411663
0.371894,0.927781,-0.0303014
0.0494929,0.0127785,0.998693
0,-3.19739,3.21421,-1.83114
2,-40.5917,57.2297,-2.03225
3,-5.14,5.41187,-1.91203
4,-6.49305,7.98025,-1.943
5,-63.1001,80.9936,-0.0319005
6,-66.4288,105.209,-1.47054
7,-8.39508,9.678,-1.89371
8,-9.44814,12.2468,-1.89467
9,-77.1907,89.8971,0.634136
10,-69.8521,99.5154,-0.728766
11,-11.4398,13.6444,-1.84528
12,-11.4837,16.8943,-1.85641
14,-66.0983,104.671,1.37967
15,-18.8813,23.3355,-2.05911
16,-14.5669,19.6306,-1.94756
17,-77.0207,89.7082,3.37421
18,-69.5718,99.1067,2.05139
19,-23.4351,26.47,-2.22048
20,-24.4985,37.8186,-2.5945
22,-70.784,100.856,4.94071
23,-30.8799,38.9811,-2.29529
24,-28.7112,40.0636,-2.55554
25,-23.4889,29.3523,4.51851
27,-35.0514,40.1962,-2.14597
28,-35.1088,54.8461,-2.26108
31,-44.2006,56.3455,-1.66216
32,-3.19741,3.2342,-1.84115
34,-40.472,57.4998,-2.04233
35,-5.12002,5.43189,-1.91203
36,-6.46308,8.00028,-1.94301
37,-63.0407,81.5037,-0.0320745
38,-66.1493,105.59,-1.47066
39,-8.37511,9.70803,-1.89372
40,-9.39817,12.2768,-1.89468
42,-69.5324,99.8057,-0.728847
43,-11.3999,13.6844,-1.84529
44,-11.4437,16.9444,-1.85643
46,-65.6886,104.851,1.37963
47,-18.8014,23.4156,-2.05913
48,-14.507,19.7007,-1.94758
50,-69.2521,99.377,2.05132
51,-23.3652,26.5901,-2.23052
52,-24.4287,37.9887,-2.60455
54,-69.4827,99.7277,4.88118
55,-30.8202,39.1912,-2.29536
56,-28.6415,40.2737,-2.56561
57,-23.3389,29.3725,4.50851
59,-35.0517,40.4862,-2.15607
60,-35.0092,55.1362,-2.27118
63,-44.101,56.6356,-1.66225
64,-3.30763,3.42404,-1.94122
66,-40.4024,57.8399,-2.04245
67,-5.09004,5.44193,-1.91203
68,-6.43309,8.01032,-1.94301
69,-62.811,81.784,-0.0321581
70,-51.8926,83.1466,-1.15197
71,-8.33514,9.72808,-1.89373
72,-9.3582,12.2969,-1.89468
74,-68.9423,99.6664,-0.728763
75,-11.3399,13.7145,-1.8453
76,-11.3738,16.9745,-1.85644
78,-65.3689,105.151,1.37955
79,-18.7315,23.4957,-2.05916
80,-14.4571,19.7608,-1.9476
82,-68.8623,99.5675,2.05128
83,-23.2853,26.6902,-2.23055
84,-24.379,38.2188,-2.61463
86,-69.163,99.9981,4.88111
87,-30.7905,39.4312,-2.31545
88,-28.5717,40.4838,-2.57568
89,-23.219,29.4126,4.50851
90,-69.7544,100.889,9.92076
91,-35.0521,40.7662,-2.16617
92,-34.7091,55.0766,-2.26114
95,-43.8811,56.7459,-1.66228
96,-3.3277,3.484,-1.97124
98,-40.3027,58.07,-2.05252
99,-5.08005,5.45194,-1.91204
100,-6.41313,8.04034,-1.94302
101,-71.5656,94.0136,-0.0369538
102,-51.5727,83.2269,-1.15197
103,-8.28515,9.73813,-1.89373
104,-9.32823,12.3269,-1.89469
105,-95.4692,113.815,0.814687
106,-68.4423,99.657,-0.718729
107,-11.2899,13.7346,-1.8453
108,-11.3238,17.0045,-1.85644
110,-65.4901,106.121,1.3892
111,-18.6716,23.5757,-2.05918
112,-14.4072,19.8308,-1.94762
113,-95.3593,113.697,4.24473
114,-68.4825,99.708,2.05125
115,-23.2154,26.7803,-2.23058
116,-24.3493,38.4588,-2.62471
118,-68.663,99.9787,4.87115
119,-30.7207,39.6213,-2.31551
120,-28.532,40.7138,-2.57575
122,-69.3645,101.03,9.91074
123,-35.0524,41.0462,-2.17627
124,-34.4591,55.0869,-2.26112
127,-43.7414,56.9561,-1.66234
128,-3.31771,3.49401,-1.97125
129,-43.9757,52.1859,-1.1907
130,-40.0528,58.1903,-2.05255
131,-5.05007,5.47197,-1.91204
132,-6.37314,8.05039,-1.94302
133,-65.8974,87.1403,-0.0342128
134,-73.3966,120.121,-1.66616
135,-8.24517,9.75818,-1.89373
136,-9.26827,12.357,-1.8947
138,-68.0625,99.8775,-0.718782
139,-11.24,13.7846,-1.84532
140,-11.2539,17.0546,-1.85646
142,-65.6314,107.241,1.3988
143,-18.5717,23.6158,-2.05919
144,-14.3472,19.9009,-1.95764
146,-68.0827,99.9084,2.05121
147,-23.1456,26.9103,-2.23062
148,-24.2896,38.6889,-2.63479
150,-68.5137,100.559,4.88095
151,-30.6509,39.8314,-2.31558
152,-28.4622,40.9239,-2.58582
154,-68.8846,101.1,9.89074
155,-35.0227,41.3162,-2.18636
156,-34.3494,55.367,-2.26122
159,-43.6217,57.2462,-1.67244
160,-3.30772,3.50403,-1.97125
161,-43.9061,52.466,-1.19079
162,-39.9732,58.5004,-2.05265
163,-5.03008,5.482,-1.91204
164,-6.35316,8.07042,-1.94303
165,-64.8164,86.3116,-0.033858
167,-8.22521,9.78821,-1.89374
168,-9.2283,12.387,-1.89471
169,-109.952,133.208,0.947045
170,-67.6026,99.938,-0.718775
171,-11.19,13.8147,-1.84532
172,-11.2039,17.0947,-1.85647
174,-65.3519,107.631,1.40868
175,-18.5018,23.7059,-2.05922
176,-14.2973,19.971,-1.95766
178,-68.0235,100.579,2.06098
179,-23.0957,27.0304,-2.24066
180,-24.2498,38.9189,-2.64487
182,-68.4244,101.189,4.90074
183,-30.5912,40.0415,-2.32565
184,-28.3925,41.114,-2.59589
186,-68.585,101.421,9.90065
187,-34.983,41.5563,-2.19644
188,-34.3099,55.7371,-2.28134
192,-3.28772,3.50405,-1.97125
193,-43.7763,52.6862,-1.19086
194,-39.8835,58.8005,-2.06275
195,-5.01011,5.50202,-1.91205
196,-6.32319,8.09045,-1.94303
197,-64.5868,86.6319,-0.0339555
199,-8.18525,9.81825,-1.89375
200,-9.18833,12.4071,-1.89471
202,-67.2529,100.188,-0.718841
203,-11.1401,13.8548,-1.84533
206,-95.9042,159.955,2.08859
207,-18.4519,23.806,-2.05925
208,-14.2374,20.051,-1.95768
210,-67.6938,100.839,2.06091
211,-23.0659,27.1804,-2.24071
212,-24.2101,39.1689,-2.65495
214,-68.1348,101.519,4.91064
215,-30.5214,40.2415,-2.32571
216,-28.3428,41.364,-2.60597
218,-68.7262,102.42,9.97029
219,-34.733,41.5366,-2.18642
220,-34.2603,56.0971,-2.29146
223,-43.5025,57.9263,-1.68267
224,-3.27772,3.50406,-1.97125
226,-39.814,59.1606,-2.07287
227,-5.01013,5.52202,-1.91206
228,-6.29321,8.11049,-1.94304
229,-64.5475,87.2219,-0.0341587
230,-66.2556,110.879,-1.5225
231,-8.14526,9.8283,-1.89375
232,-9.13836,12.4371,-1.89472
234,-67.0935,100.689,-0.729006
235,-11.0901,13.8848,-1.84534
236,-11.1041,17.2148,-1.8565
238,-94.9939,159.696,2.07873
239,-18.382,23.8861,-2.06927
240,-14.1775,20.1211,-1.9577
242,-67.6347,101.529,2.07067
243,-22.976,27.2805,-2.24074
244,-24.1504,39.379,-2.66502
246,-67.5547,101.39,4.89072
247,-30.4617,40.4516,-2.33578
248,-28.283,41.5941,-2.61605
251,-34.3228,41.3371,-2.16633
252,-34.1807,56.4072,-2.29157
255,-43.4329,58.2464,-1.68277
256,-3.26775,3.52407,-1.97125
258,-39.7143,59.4807,-2.07298
259,-4.97014,5.53207,-1.91206
260,-6.26322,8.12053,-1.93304
261,-63.8471,86.9227,-0.0340117
262,-51.2662,86.1573,-1.18298
263,-8.10529,9.85835,-1.89376
264,-9.0884,12.4672,-1.89473
266,-66.8741,101.189,-0.729167
267,-11.0501,13.9249,-1.84535
268,-11.0441,17.2549,-1.86651
271,-18.3221,23.9861,-2.0693
272,-14.1276,20.1812,-1.96772
274,-67.1347,101.56,2.06069
275,-22.9262,27.4206,-2.25078
276,-24.0907,39.6091,-2.6751
278,-67.2451,101.75,4.89062
279,-30.392,40.6817,-2.34586
280,-28.2133,41.8142,-2.61612
283,-34.2931,41.6171,-2.17642
284,-34.071,56.6973,-2.30166
287,-43.3132,58.5166,-1.69286
288,-3.24774,3.5141,-1.97125
289,-48.4446,59.6806,-1.34358
290,-39.6247,59.7508,-2.08307
291,-4.95015,5.54209,-1.91206
292,-6.23323,8.13056,-1.93304
293,-63.4071,86.8933,-0.0339745
294,-51.0264,86.3676,-1.18303
295,-8.06532,9.8784,-1.89376
296,-9.05845,12.5072,-1.89474
297,-65.1998,80.7513,0.548056
298,-66.7346,101.669,-0.729325
299,-11.0002,13.9549,-1.84536
300,-10.9841,17.2849,-1.86652
302,-91.8204,156.73,2.02996
303,-18.2822,24.0762,-2.06933
304,-14.0676,20.2412,-1.96774
306,-69.2695,105.587,2.13915
307,-22.8963,27.5406,-2.26082
308,-24.0409,39.8091,-2.68517
310,-67.7869,103.29,4.96005
311,-30.3522,40.8717,-2.34592
312,-28.1435,42.0143,-2.62618
315,-34.3034,41.8871,-2.18652
316,-33.9813,56.9675,-2.31175
319,-43.1935,58.7567,-1.69294
320,-3.23776,3.53411,-1.97126
321,-48.335,59.9607,-1.34367
322,-38.413,58.3223,-2.02249
323,-4.95018,5.56209,-1.91207
324,-6.20326,8.1506,-1.93305
325,-63.5581,87.7531,-0.0342833
326,-50.6063,86.3081,-1.17299
327,-8.03534,9.89843,-1.89377
328,-9.00847,12.5273,-1.89474
329,-64.6497,80.632,0.548131
330,-66.4851,102.039,-0.729439
331,-10.9502,13.975,-1.84537
332,-10.9242,17.325,-1.86653
334,-91.4611,157.391,2.03975
335,-18.2023,24.1463,-2.06935
336,-13.9977,20.2913,-1.96775
337,-76.4276,95.549,3.49221
338,-67.6775,103.909,2.09984
339,-22.8365,27.6907,-2.26087
340,-23.9912,40.0492,-2.69525
342,-68.5293,105.249,5.03932
343,-30.2824,41.0918,-2.35599
344,-28.1038,42.2543,-2.62627
347,-34.2236,42.0872,-2.18658
348,-33.9117,57.2875,-2.31186
351,-43.0438,58.9769,-1.693
352,-3.22777,3.54412,-1.97126
353,-48.3255,60.3807,-1.35382
354,-38.3334,58.6524,-2.0326
355,-4.92019,5.57213,-1.91207
356,-6.17328,8.17063,-1.93305
357,-63.2183,87.9035,-0.0343149
358,-50.1863,86.3086,-1.17296
359,-7.99537,9.91848,-1.88377
360,-8.96851,12.5573,-1.89475
361,-64.0795,80.4827,0.548218
362,-67.8686,104.998,-0.750554
363,-10.9002,14.015,-1.84538
364,-10.8642,17.3551,-1.86654
366,-69.9377,120.936,1.56377
367,-18.1424,24.2464,-2.07938
368,-13.9378,20.3514,-1.96777
370,-67.6083,104.589,2.1096
371,-22.7866,27.8108,-2.26091
372,-17.6684,29.287,-1.96111
374,-68.0994,105.389,5.0393
375,-30.2327,41.3319,-2.36607
376,-28.0141,42.4644,-2.64633
379,-34.244,42.4272,-2.1967
380,-17.6584,29.2672,-1.1811
383,-42.9541,59.277,-1.7031
384,-3.1958,3.5546,-1.97125
385,-48.2531,60.772,-1.35376
386,-38.1207,58.8136,-2.03246
387,-4.8882,5.59263,-1.91206
388,-6.13124,8.18117,-1.93303
389,-71.0389,99.7557,-0.0386116
391,-7.94331,9.93906,-1.88375
392,-8.91641,12.5779,-1.89472
393,-63.6464,80.5645,0.548464
394,-67.3952,105.14,-0.750245
395,-10.8281,14.0557,-1.84534
396,-10.7921,17.3857,-1.86649
397,-71.8104,100.846,2.81097
399,-18.0702,24.3571,-2.07934
400,-13.8556,20.4121,-1.96772
402,-66.7842,104.171,2.10013
403,-22.6844,27.9116,-2.27085
406,-67.5158,105.342,5.01968
408,-27.9217,42.6754,-2.64627
411,-34.2118,42.7281,-2.20667
415,-42.7515,59.4783,-1.70298
416,-3.1958,3.5546,-1.97125
417,-48.0833,60.9922,-1.35383
418,-38.0711,59.1837,-2.04259
419,-4.8682,5.59266,-1.91206
420,-6.10126,8.2012,-1.93303
421,-70.6892,99.9961,-0.038673
422,-17.4362,29.3684,-0.401034
423,-7.90333,9.95911,-1.88375
425,-63.3366,80.7449,0.548421
426,-67.0054,105.34,-0.75029
427,-10.7782,14.0757,-1.84535
428,-10.7221,17.4158,-1.8565
429,-71.4206,101.036,2.81092
430,-15.6024,26.1208,0.320199
431,-18.0103,24.4372,-2.07937
432,-13.7857,20.4622,-1.96774
434,-66.5147,104.562,2.10001
435,-22.6045,28.0117,-2.27088
438,-67.2362,105.712,5.02957
439,-30.0306,41.693,-2.37606
440,-27.882,42.9454,-2.65636
443,-34.1521,42.9682,-2.21675
447,-42.6819,59.8284,-1.70309
448,-3.17581,3.56462,-1.97126
449,-48.0237,61.3322,-1.36394
450,-37.9915,59.5038,-2.05269
451,-4.84822,5.61268,-1.91206
452,-6.07129,8.22124,-1.93304
453,-70.2292,100.027,-0.0386553
454,-15.6628,26.4305,-0.359911
455,-7.87335,9.97914,-1.88376
456,-8.81644,12.608,-1.88472
457,-63.1069,80.9852,0.548352
458,-66.7559,105.72,-0.750406
459,-10.7282,14.1158,-1.84536
460,-10.6621,17.4459,-1.8565
461,-71.0408,101.227,2.81088
462,-15.4824,26.111,0.32021
463,-17.9504,24.5373,-2.0894
466,-66.0748,104.622,2.10001
467,-22.5747,28.1618,-2.27093
468,-23.7296,40.9203,-2.73541
470,-66.5458,105.393,4.99972
471,-30.0209,41.973,-2.38616
472,-27.8223,43.1655,-2.66643
475,-34.1124,43.1982,-2.22683
476,-33.5203,58.5189,-2.35208
479,-42.6023,60.1285,-1.71319
480,-3.16583,3.57463,-1.97126
481,-47.864,61.5824,-1.36402
482,-37.8418,59.7239,-2.05276
483,-4.82825,5.6327,-1.91207
484,-6.0413,8.23128,-1.93304
485,-69.6792,99.9873,-0.0386079
486,-68.0945,121.649,-1.64598
