-289.1,717.108,-18.8432
0.962413,-0.263251,-0.0667892
0.260966,0.964474,-0.041064
0.0752266,0.0220909,0.996922
0,-3.02968,3.49649,-1.91861
1,-92.2942,119.75,-2.48917
2,-66.2346,105.595,-3.48636
3,-4.70401,5.56294,-1.87647
4,-5.79907,7.97063,-1.85413
6,-69.9647,124.846,-1.5185
7,-7.49254,9.62702,-1.79235
8,-8.41794,12.1951,-1.7999
11,-10.1105,13.4215,-1.72851
12,-9.93677,16.4018,-1.71587
15,-13.551,18.4141,-1.52345
16,-11.9399,17.8876,-1.6842
19,-14.8708,18.3312,-1.45329
20,-49.3673,87.6628,-5.72532
23,-61.5781,88.1364,-4.87277
24,-56.3815,89.6778,-5.4223
27,-68.6294,88.7412,-4.441
28,-59.8468,106.579,-4.12659
31,-75.5906,108.475,-2.93215
32,-3.00967,3.49653,-1.90861
33,-92.2158,120.51,-2.4985
34,-65.7948,105.696,-3.48634
35,-4.68406,5.58299,-1.87646
36,-5.77913,8.00067,-1.85411
39,-7.47259,9.64706,-1.79234
40,-8.37798,12.2152,-1.79989
43,-10.0706,13.4616,-1.72848
44,-9.88688,16.452,-1.72584
47,-13.3707,18.2944,-1.51358
48,-11.8498,17.8678,-1.67423
51,-51.2727,66.4983,-5.2639
55,-61.2184,88.2771,-4.87271
56,-56.1522,90.0083,-5.42204
59,-68.36,89.0417,-4.44078
60,-58.4633,104.962,-4.05827
63,-74.5992,107.847,-2.91289
64,-2.9997,3.50656,-1.91861
65,-92.2177,121.4,-2.50771
66,-67.3519,109.083,-3.58304
67,-4.66408,5.59303,-1.87645
68,-5.74918,8.02074,-1.85409
70,-66.6664,120.903,-1.4626
71,-7.42263,9.66717,-1.79233
72,-8.32805,12.2453,-1.79987
75,-10.0206,13.4817,-1.72847
76,-9.84698,16.502,-1.7158
79,-13.3208,18.3346,-1.51356
80,-11.7498,17.868,-1.67425
83,-51.033,66.6488,-5.25381
87,-61.0393,88.6675,-4.89239
88,-55.8526,90.2289,-5.4319
91,-68.1107,89.3622,-4.44054
92,-58.9671,106.761,-4.11658
95,-83.7995,122.208,-3.28845
96,-2.98972,3.51657,-1.9086
97,-92.2396,122.32,-2.51688
98,-66.9925,109.364,-3.59286
99,-4.64412,5.61307,-1.87644
100,-5.71918,8.0208,-1.8541
102,-65.3333,119.445,-1.44413
103,-7.39269,9.69723,-1.79231
104,-8.28811,12.2754,-1.79985
107,-9.97072,13.5218,-1.72844
108,-9.78706,16.5422,-1.71577
